site,site.code,year,date,doy,week,observer,habitat,habitat.code,transect.section,habitat.tsection,plant.species,flower.count,notes,transect.snow.cover
Avery.Wash,AW,2016,14-May-16,135,3,JEO,wet,w,60-80,w-60-80,0,0,NA,snow
Avery.Wash,AW,2016,14-May-16,135,3,JEO,wet,w,80-100,w-80-100,Claytonia.lanceolata,5,NA,bare
Avery.Wash,AW,2016,14-May-16,135,3,JEO,wet,w,80-100,w-80-100,Mertensia.fusiformis,3,NA,bare
Avery.Wash,AW,2016,25-May-16,146,4,JEO,aspen,a,0-20,a-0-20,0,0,NA,bare
Avery.Wash,AW,2016,25-May-16,146,4,JEO,aspen,a,20-40,a-20-40,Claytonia.lanceolata,27,NA,bare
Avery.Wash,AW,2016,25-May-16,146,4,JEO,aspen,a,40-60,a-40-60,0,0,NA,bare
Avery.Wash,AW,2016,25-May-16,146,4,JEO,aspen,a,60-80,a-60-80,Claytonia.lanceolata,72,NA,bare
Avery.Wash,AW,2016,25-May-16,146,4,JEO,aspen,a,80-100,a-80-100,Claytonia.lanceolata,697,NA,bare
Avery.Wash,AW,2016,25-May-16,146,4,JEO,dry,d,0-20,d-0-20,Claytonia.lanceolata,10,NA,bare
Avery.Wash,AW,2016,25-May-16,146,4,JEO,dry,d,20-40,d-20-40,Claytonia.lanceolata,2,NA,bare
Avery.Wash,AW,2016,25-May-16,146,4,JEO,dry,d,40-60,d-40-60,Claytonia.lanceolata,357,NA,bare
Avery.Wash,AW,2016,25-May-16,146,4,JEO,dry,d,60-80,d-60-80,Claytonia.lanceolata,361,NA,bare
Avery.Wash,AW,2016,25-May-16,146,4,JEO,dry,d,80-100,d-80-100,0,0,NA,bare
Avery.Wash,AW,2016,25-May-16,146,4,JEO,wet,w,0-20,w-0-20,Claytonia.lanceolata,142,NA,bare
Avery.Wash,AW,2016,25-May-16,146,4,JEO,wet,w,20-40,w-20-40,Claytonia.lanceolata,153,NA,bare
Avery.Wash,AW,2016,25-May-16,146,4,JEO,wet,w,40-60,w-40-60,Claytonia.lanceolata,20,NA,bare
Avery.Wash,AW,2016,25-May-16,146,4,JEO,wet,w,60-80,w-60-80,Claytonia.lanceolata,115,NA,bare
Avery.Wash,AW,2016,25-May-16,146,4,JEO,wet,w,80-100,w-80-100,Claytonia.lanceolata,297,NA,bare
Avery.Wash,AW,2016,25-May-16,146,4,JEO,wet,w,80-100,w-80-100,Mertensia.fusiformis,7,NA,bare
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,aspen,a,0-20,a-0-20,Mertensia.fusiformis,11,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,aspen,a,0-20,a-0-20,Ranunculus.inamoenus,2,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,aspen,a,20-40,a-20-40,Claytonia.lanceolata,41,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,aspen,a,20-40,a-20-40,Mertensia.fusiformis,7,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,aspen,a,20-40,a-20-40,Ranunculus.inamoenus,1,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,aspen,a,40-60,a-40-60,Claytonia.lanceolata,5,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,aspen,a,40-60,a-40-60,Mertensia.fusiformis,7,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,aspen,a,60-80,a-60-80,Claytonia.lanceolata,32,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,aspen,a,60-80,a-60-80,Mertensia.fusiformis,12,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,aspen,a,80-100,a-80-100,Claytonia.lanceolata,245,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,dry,d,0-20,d-0-20,Claytonia.lanceolata,11,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,dry,d,0-20,d-0-20,Mertensia.fusiformis,19,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,dry,d,0-20,d-0-20,Ranunculus.inamoenus,3,"KG did not do separate counts for the long 0-40 m transect, so JEO halved the counts",NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,dry,d,20-40,d-20-40,Claytonia.lanceolata,12,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,dry,d,20-40,d-20-40,Mertensia.fusiformis,20,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,dry,d,20-40,d-20-40,Ranunculus.inamoenus,2,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,dry,d,40-60,d-40-60,Claytonia.lanceolata,57,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,dry,d,40-60,d-40-60,Fragaria.virginiana,2,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,dry,d,40-60,d-40-60,Ranunculus.inamoenus,1,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,dry,d,40-60,d-40-60,Taraxacum.officinale,23,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,dry,d,40-60,d-40-60,Viola.praemorsa,2,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,dry,d,60-80,d-60-80,Claytonia.lanceolata,86,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,dry,d,60-80,d-60-80,Mertensia.fusiformis,3,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,dry,d,60-80,d-60-80,Ranunculus.inamoenus,4,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,dry,d,60-80,d-60-80,Taraxacum.officinale,15,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,dry,d,60-80,d-60-80,Viola.praemorsa,11,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,dry,d,80-100,d-80-100,Fragaria.virginiana,3,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,dry,d,80-100,d-80-100,Mertensia.fusiformis,25,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,dry,d,80-100,d-80-100,Ranunculus.inamoenus,7,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,dry,d,80-100,d-80-100,Taraxacum.officinale,1,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,wet,w,0-20,w-0-20,Claytonia.lanceolata,343,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,wet,w,0-20,w-0-20,Erythronium.grandiflorum,1,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,wet,w,0-20,w-0-20,Mertensia.fusiformis,15,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,wet,w,20-40,w-20-40,Claytonia.lanceolata,403,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,wet,w,20-40,w-20-40,Ranunculus.inamoenus,4,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,wet,w,40-60,w-40-60,Claytonia.lanceolata,53,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,wet,w,40-60,w-40-60,Erythronium.grandiflorum,1,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,wet,w,40-60,w-40-60,Mertensia.fusiformis,24,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,wet,w,40-60,w-40-60,Ranunculus.inamoenus,4,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,wet,w,60-80,w-60-80,Claytonia.lanceolata,210,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,wet,w,60-80,w-60-80,Mertensia.fusiformis,2,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,wet,w,60-80,w-60-80,Ranunculus.inamoenus,1,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,wet,w,80-100,w-80-100,Claytonia.lanceolata,216,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,wet,w,80-100,w-80-100,Erythronium.grandiflorum,2,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,wet,w,80-100,w-80-100,Mertensia.fusiformis,33,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,wet,w,80-100,w-80-100,Taraxacum.officinale,1,NA,NA
Avery.Wash,AW,2016,3-Jun-16,155,5,KAG,wet,w,80-100,w-80-100,Viola.praemorsa,1,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,aspen,a,0-20,a-0-20,Mertensia.fusiformis,16,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,aspen,a,0-20,a-0-20,Ranunculus.inamoenus,2,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,aspen,a,0-20,a-0-20,Taraxacum.officinale,10,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,aspen,a,0-20,a-0-20,Viola.praemorsa,12,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,aspen,a,20-40,a-20-40,Mertensia.fusiformis,4,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,aspen,a,20-40,a-20-40,Ranunculus.inamoenus,3,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,aspen,a,20-40,a-20-40,Viola.praemorsa,2,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,aspen,a,40-60,a-40-60,Mertensia.fusiformis,1,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,aspen,a,40-60,a-40-60,Viola.praemorsa,5,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,aspen,a,60-80,a-60-80,Mertensia.fusiformis,2,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,aspen,a,60-80,a-60-80,Viola.praemorsa,1,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,aspen,a,80-100,a-80-100,Claytonia.lanceolata,1,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,aspen,a,80-100,a-80-100,Valeriana.occidentalis,1,"Added because we didn't count VAOC, taken from 2017 data",NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,dry,d,0-20,d-0-20,Fragaria.virginiana,31,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,dry,d,0-20,d-0-20,Mertensia.fusiformis,62,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,dry,d,0-20,d-0-20,Ranunculus.inamoenus,2,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,dry,d,0-20,d-0-20,Taraxacum.officinale,28,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,dry,d,0-20,d-0-20,Viola.praemorsa,34,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,dry,d,20-40,d-20-40,Fragaria.virginiana,68,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,dry,d,20-40,d-20-40,Mertensia.fusiformis,24,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,dry,d,20-40,d-20-40,Ranunculus.inamoenus,17,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,dry,d,20-40,d-20-40,Taraxacum.officinale,26,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,dry,d,20-40,d-20-40,Viola.praemorsa,38,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,dry,d,40-60,d-40-60,Delphinium.nuttallianum,2,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,dry,d,40-60,d-40-60,Fragaria.virginiana,214,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,dry,d,40-60,d-40-60,Taraxacum.officinale,47,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,dry,d,40-60,d-40-60,Viola.praemorsa,4,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,dry,d,60-80,d-60-80,Delphinium.nuttallianum,51,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,dry,d,60-80,d-60-80,Taraxacum.officinale,77,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,dry,d,60-80,d-60-80,Viola.praemorsa,3,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,dry,d,80-100,d-80-100,Fragaria.virginiana,130,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,dry,d,80-100,d-80-100,Mertensia.fusiformis,19,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,dry,d,80-100,d-80-100,Ranunculus.inamoenus,24,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,dry,d,80-100,d-80-100,Taraxacum.officinale,14,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,dry,d,80-100,d-80-100,Viola.praemorsa,25,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,wet,w,0-20,w-0-20,Claytonia.lanceolata,2,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,wet,w,0-20,w-0-20,Mertensia.fusiformis,10,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,wet,w,0-20,w-0-20,Ranunculus.inamoenus,1,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,wet,w,0-20,w-0-20,Taraxacum.officinale,1,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,wet,w,0-20,w-0-20,Viola.praemorsa,5,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,wet,w,20-40,w-20-40,Claytonia.lanceolata,16,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,wet,w,20-40,w-20-40,Ranunculus.inamoenus,4,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,wet,w,20-40,w-20-40,Viola.praemorsa,2,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,wet,w,40-60,w-40-60,Mertensia.fusiformis,57,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,wet,w,40-60,w-40-60,Ranunculus.inamoenus,19,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,wet,w,40-60,w-40-60,Taraxacum.officinale,10,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,wet,w,40-60,w-40-60,Viola.praemorsa,7,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,wet,w,60-80,w-60-80,Claytonia.lanceolata,12,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,wet,w,60-80,w-60-80,Mertensia.fusiformis,8,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,wet,w,60-80,w-60-80,Ranunculus.inamoenus,13,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,wet,w,80-100,w-80-100,Claytonia.lanceolata,14,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,wet,w,80-100,w-80-100,Delphinium.nuttallianum,10,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,wet,w,80-100,w-80-100,Mertensia.fusiformis,14,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,wet,w,80-100,w-80-100,Ranunculus.inamoenus,1,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,wet,w,80-100,w-80-100,Taraxacum.officinale,2,NA,NA
Avery.Wash,AW,2016,10-Jun-16,162,6,KAG,wet,w,80-100,w-80-100,Viola.praemorsa,1,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,aspen,a,0-20,a-0-20,Mertensia.fusiformis,7,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,aspen,a,0-20,a-0-20,Taraxacum.officinale,11,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,aspen,a,0-20,a-0-20,Viola.praemorsa,6,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,aspen,a,20-40,a-20-40,Ranunculus.inamoenus,1,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,aspen,a,40-60,a-40-60,Taraxacum.officinale,1,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,aspen,a,40-60,a-40-60,Viola.praemorsa,4,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,aspen,a,60-80,a-60-80,Mertensia.fusiformis,1,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,aspen,a,80-100,a-80-100,Hydrophyllum.fendleri,41,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,dry,d,0-20,d-0-20,Delphinium.nuttallianum,28,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,dry,d,0-20,d-0-20,Fragaria.virginiana,8,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,dry,d,0-20,d-0-20,Taraxacum.officinale,23,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,dry,d,20-40,d-20-40,Fragaria.virginiana,30,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,dry,d,20-40,d-20-40,Mertensia.fusiformis,5,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,dry,d,20-40,d-20-40,Ranunculus.inamoenus,6,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,dry,d,20-40,d-20-40,Taraxacum.officinale,8,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,dry,d,40-60,d-40-60,Boechera.stricta,10,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,dry,d,40-60,d-40-60,Delphinium.nuttallianum,15,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,dry,d,40-60,d-40-60,Fragaria.virginiana,83,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,dry,d,40-60,d-40-60,Taraxacum.officinale,13,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,dry,d,60-80,d-60-80,Delphinium.nuttallianum,137,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,dry,d,60-80,d-60-80,Lathyrus.leucanthus,1,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,dry,d,60-80,d-60-80,Ranunculus.inamoenus,9,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,dry,d,60-80,d-60-80,Taraxacum.officinale,36,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,dry,d,80-100,d-80-100,Delphinium.nuttallianum,26,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,dry,d,80-100,d-80-100,Fragaria.virginiana,60,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,dry,d,80-100,d-80-100,Ranunculus.inamoenus,7,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,dry,d,80-100,d-80-100,Taraxacum.officinale,12,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,wet,w,0-20,w-0-20,Fragaria.virginiana,1,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,wet,w,0-20,w-0-20,Mertensia.fusiformis,11,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,wet,w,0-20,w-0-20,Ranunculus.inamoenus,1,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,wet,w,0-20,w-0-20,Taraxacum.officinale,5,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,wet,w,0-20,w-0-20,Viola.praemorsa,3,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,wet,w,20-40,w-20-40,0,0,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,wet,w,40-60,w-40-60,Fragaria.virginiana,7,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,wet,w,40-60,w-40-60,Mertensia.fusiformis,28,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,wet,w,40-60,w-40-60,Ranunculus.inamoenus,2,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,wet,w,40-60,w-40-60,Viola.praemorsa,14,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,wet,w,60-80,w-60-80,Hydrophyllum.fendleri,14,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,wet,w,60-80,w-60-80,Taraxacum.officinale,1,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,wet,w,80-100,w-80-100,Delphinium.nuttallianum,33,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,wet,w,80-100,w-80-100,Hydrophyllum.fendleri,11,NA,NA
Avery.Wash,AW,2016,15-Jun-16,167,7,KAG,wet,w,80-100,w-80-100,Taraxacum.officinale,3,NA,NA
Avery.Wash,AW,2016,23-Jun-16,175,8,KAG,aspen,a,0-20,a-0-20,Ligusticum.porteri,2,"Added because we didn't count LIPO, taken from 2018 data",NA
Avery.Wash,AW,2016,23-Jun-16,175,8,KAG,aspen,a,0-20,a-0-20,Dugaldia.hoopesii,4,NA,NA
Avery.Wash,AW,2016,23-Jun-16,175,8,KAG,aspen,a,0-20,a-0-20,Fragaria.virginiana,2,NA,NA
Avery.Wash,AW,2016,23-Jun-16,175,8,KAG,aspen,a,0-20,a-0-20,Potentilla.pulcherrima,3,NA,NA
Avery.Wash,AW,2016,23-Jun-16,175,8,KAG,aspen,a,0-20,a-0-20,Taraxacum.officinale,7,NA,NA
Avery.Wash,AW,2016,23-Jun-16,175,8,KAG,aspen,a,20-40,a-20-40,Ligusticum.porteri,4,"Added because we didn't count LIPO, taken from 2018 data",NA
Avery.Wash,AW,2016,23-Jun-16,175,8,KAG,aspen,a,20-40,a-20-40,Geranium.richardsonii,1,NA,NA
Avery.Wash,AW,2016,23-Jun-16,175,8,KAG,aspen,a,20-40,a-20-40,Hydrophyllum.fendleri,19,NA,NA
Avery.Wash,AW,2016,23-Jun-16,175,8,KAG,aspen,a,20-40,a-20-40,Lathyrus.leucanthus,1,NA,NA
Avery.Wash,AW,2016,23-Jun-16,175,8,KAG,aspen,a,40-60,a-40-60,Ligusticum.porteri,3,"Added because we didn't count LIPO, taken from 2018 data",NA
Avery.Wash,AW,2016,23-Jun-16,175,8,KAG,aspen,a,40-60,a-40-60,Hydrophyllum.fendleri,14,NA,NA
