site,site.code,year,date,doy,week,observer,habitat,habitat.code,transect.section,habitat.tsection,plant.species,flower.count,notes
Avery.Wash,AW,2015,21-May-15,141,2,AJC,aspen,a,15to20,a-15to20,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,aspen,a,15to20,a-15to20,Mertensia.fusiformis,0,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,aspen,a,20to25,a-20to25,Claytonia.lanceolata,28,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,aspen,a,20to25,a-20to25,Mertensia.fusiformis,0,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,aspen,a,25to30,a-25to30,Claytonia.lanceolata,2,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,aspen,a,25to30,a-25to30,Mertensia.fusiformis,0,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,aspen,a,30to35,a-30to35,Claytonia.lanceolata,1,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,aspen,a,30to35,a-30to35,Mertensia.fusiformis,3,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,aspen,a,35to40,a-35to40,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,aspen,a,35to40,a-35to40,Mertensia.fusiformis,0,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,dry,d,0to5,d-0to5,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,dry,d,5to10,d-5to10,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,dry,d,10to15,d-10to15,Claytonia.lanceolata,5,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,dry,d,15to20,d-15to20,Claytonia.lanceolata,41,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,dry,d,20to25,d-20to25,Claytonia.lanceolata,6,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,dry,d,25to30,d-25to30,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,dry,d,30to35,d-30to35,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,dry,d,35to40,d-35to40,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,wet,w,0to5,w-0to5,Claytonia.lanceolata,68,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,wet,w,5to10,w-5to10,Claytonia.lanceolata,35,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,wet,w,10to15,w-10to15,Claytonia.lanceolata,9,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,wet,w,15to20,w-15to20,Claytonia.lanceolata,10,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,wet,w,20to25,w-20to25,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,wet,w,25to30,w-25to30,Claytonia.lanceolata,23,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,wet,w,30to35,w-30to35,Claytonia.lanceolata,43,NA
Avery.Wash,AW,2015,21-May-15,141,2,AJC,wet,w,35to40,w-35to40,Claytonia.lanceolata,44,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,0to5,a-0to5,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,0to5,a-0to5,Mertensia.fusiformis,3,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,0to5,a-0to5,Ranunculus.inamoenus,1,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,0to5,a-0to5,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,5to10,a-5to10,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,5to10,a-5to10,Mertensia.fusiformis,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,5to10,a-5to10,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,5to10,a-5to10,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,10to15,a-10to15,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,10to15,a-10to15,Mertensia.fusiformis,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,10to15,a-10to15,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,10to15,a-10to15,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,15to20,a-15to20,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,15to20,a-15to20,Mertensia.fusiformis,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,15to20,a-15to20,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,15to20,a-15to20,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,20to25,a-20to25,Claytonia.lanceolata,18,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,20to25,a-20to25,Mertensia.fusiformis,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,20to25,a-20to25,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,20to25,a-20to25,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,25to30,a-25to30,Claytonia.lanceolata,3,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,25to30,a-25to30,Mertensia.fusiformis,9,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,25to30,a-25to30,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,25to30,a-25to30,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,30to35,a-30to35,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,30to35,a-30to35,Mertensia.fusiformis,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,30to35,a-30to35,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,30to35,a-30to35,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,35to40,a-35to40,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,35to40,a-35to40,Mertensia.fusiformis,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,35to40,a-35to40,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,aspen,a,35to40,a-35to40,Viola.praemorsa,1,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,0to5,d-0to5,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,0to5,d-0to5,Mertensia.fusiformis,49,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,0to5,d-0to5,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,0to5,d-0to5,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,5to10,d-5to10,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,5to10,d-5to10,Mertensia.fusiformis,3,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,5to10,d-5to10,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,5to10,d-5to10,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,10to15,d-10to15,Claytonia.lanceolata,2,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,10to15,d-10to15,Mertensia.fusiformis,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,10to15,d-10to15,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,10to15,d-10to15,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,15to20,d-15to20,Claytonia.lanceolata,12,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,15to20,d-15to20,Mertensia.fusiformis,11,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,15to20,d-15to20,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,15to20,d-15to20,Viola.praemorsa,1,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,20to25,d-20to25,Claytonia.lanceolata,8,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,20to25,d-20to25,Mertensia.fusiformis,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,20to25,d-20to25,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,20to25,d-20to25,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,25to30,d-25to30,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,25to30,d-25to30,Mertensia.fusiformis,13,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,25to30,d-25to30,Ranunculus.inamoenus,3,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,25to30,d-25to30,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,30to35,d-30to35,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,30to35,d-30to35,Mertensia.fusiformis,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,30to35,d-30to35,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,30to35,d-30to35,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,35to40,d-35to40,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,35to40,d-35to40,Mertensia.fusiformis,14,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,35to40,d-35to40,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,dry,d,35to40,d-35to40,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,wet,w,0to5,w-0to5,Claytonia.lanceolata,34,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,wet,w,0to5,w-0to5,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,wet,w,5to10,w-5to10,Claytonia.lanceolata,32,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,wet,w,5to10,w-5to10,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,wet,w,10to15,w-10to15,Claytonia.lanceolata,15,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,wet,w,10to15,w-10to15,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,wet,w,15to20,w-15to20,Claytonia.lanceolata,12,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,wet,w,15to20,w-15to20,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,wet,w,20to25,w-20to25,Claytonia.lanceolata,9,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,wet,w,20to25,w-20to25,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,wet,w,25to30,w-25to30,Claytonia.lanceolata,43,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,wet,w,25to30,w-25to30,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,wet,w,30to35,w-30to35,Claytonia.lanceolata,43,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,wet,w,30to35,w-30to35,Ranunculus.inamoenus,1,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,wet,w,35to40,w-35to40,Claytonia.lanceolata,28,NA
Avery.Wash,AW,2015,29-May-15,149,3,AJC,wet,w,35to40,w-35to40,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,0to5,a-0to5,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,0to5,a-0to5,Mertensia.fusiformis,3,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,0to5,a-0to5,Ranunculus.inamoenus,2,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,0to5,a-0to5,Viola.praemorsa,1,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,5to10,a-5to10,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,5to10,a-5to10,Mertensia.fusiformis,23,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,5to10,a-5to10,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,5to10,a-5to10,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,10to15,a-10to15,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,10to15,a-10to15,Mertensia.fusiformis,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,10to15,a-10to15,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,10to15,a-10to15,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,15to20,a-15to20,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,15to20,a-15to20,Mertensia.fusiformis,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,15to20,a-15to20,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,15to20,a-15to20,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,20to25,a-20to25,Claytonia.lanceolata,11,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,20to25,a-20to25,Mertensia.fusiformis,1,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,20to25,a-20to25,Ranunculus.inamoenus,1,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,20to25,a-20to25,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,25to30,a-25to30,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,25to30,a-25to30,Mertensia.fusiformis,4,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,25to30,a-25to30,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,25to30,a-25to30,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,30to35,a-30to35,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,30to35,a-30to35,Mertensia.fusiformis,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,30to35,a-30to35,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,30to35,a-30to35,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,35to40,a-35to40,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,35to40,a-35to40,Mertensia.fusiformis,6,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,35to40,a-35to40,Ranunculus.inamoenus,1,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,aspen,a,35to40,a-35to40,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,0to5,d-0to5,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,0to5,d-0to5,Mertensia.fusiformis,63,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,0to5,d-0to5,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,0to5,d-0to5,Taraxacum.officinale,1,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,0to5,d-0to5,Viola.praemorsa,6,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,5to10,d-5to10,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,5to10,d-5to10,Mertensia.fusiformis,26,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,5to10,d-5to10,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,5to10,d-5to10,Taraxacum.officinale,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,5to10,d-5to10,Viola.praemorsa,1,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,10to15,d-10to15,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,10to15,d-10to15,Mertensia.fusiformis,22,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,10to15,d-10to15,Ranunculus.inamoenus,1,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,10to15,d-10to15,Taraxacum.officinale,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,10to15,d-10to15,Viola.praemorsa,2,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,15to20,d-15to20,Claytonia.lanceolata,11,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,15to20,d-15to20,Mertensia.fusiformis,17,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,15to20,d-15to20,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,15to20,d-15to20,Taraxacum.officinale,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,15to20,d-15to20,Viola.praemorsa,1,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,20to25,d-20to25,Claytonia.lanceolata,3,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,20to25,d-20to25,Mertensia.fusiformis,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,20to25,d-20to25,Ranunculus.inamoenus,5,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,20to25,d-20to25,Taraxacum.officinale,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,20to25,d-20to25,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,25to30,d-25to30,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,25to30,d-25to30,Mertensia.fusiformis,25,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,25to30,d-25to30,Ranunculus.inamoenus,8,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,25to30,d-25to30,Taraxacum.officinale,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,25to30,d-25to30,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,30to35,d-30to35,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,30to35,d-30to35,Mertensia.fusiformis,8,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,30to35,d-30to35,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,30to35,d-30to35,Taraxacum.officinale,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,30to35,d-30to35,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,35to40,d-35to40,Claytonia.lanceolata,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,35to40,d-35to40,Mertensia.fusiformis,16,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,35to40,d-35to40,Ranunculus.inamoenus,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,35to40,d-35to40,Taraxacum.officinale,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,dry,d,35to40,d-35to40,Viola.praemorsa,1,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,wet,w,0to5,w-0to5,Claytonia.lanceolata,99,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,wet,w,0to5,w-0to5,Erythronium.grandiflorum,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,wet,w,0to5,w-0to5,Mertensia.fusiformis,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,wet,w,0to5,w-0to5,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,wet,w,5to10,w-5to10,Claytonia.lanceolata,82,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,wet,w,5to10,w-5to10,Erythronium.grandiflorum,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,wet,w,5to10,w-5to10,Mertensia.fusiformis,12,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,wet,w,5to10,w-5to10,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,wet,w,10to15,w-10to15,Claytonia.lanceolata,38,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,wet,w,10to15,w-10to15,Erythronium.grandiflorum,1,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,wet,w,10to15,w-10to15,Mertensia.fusiformis,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,wet,w,10to15,w-10to15,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,wet,w,15to20,w-15to20,Claytonia.lanceolata,25,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,wet,w,15to20,w-15to20,Erythronium.grandiflorum,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,wet,w,15to20,w-15to20,Mertensia.fusiformis,1,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,wet,w,15to20,w-15to20,Viola.praemorsa,0,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,wet,w,20to25,w-20to25,Claytonia.lanceolata,52,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,AJC,wet,w,20to25,w-20to25,Erythronium.grandiflorum,0,NA
