habitat,site,site.code,year,week,doy,plant.species,transect.section,flw.count.mean,flw.count.sum,flw.count.mean.per.meter
aspen,Avery.Wash,AW,2016,9,181,Ligusticum.porteri,0-20,4,4,0.4
aspen,Avery.Wash,AW,2016,9,181,Ligusticum.porteri,20-40,3,3,0.3
aspen,Avery.Wash,AW,2016,9,181,Ligusticum.porteri,60-80,4,4,0.4
aspen,Avery.Wash,AW,2016,9,181,Ligusticum.porteri,80-100,6,6,0.6
aspen,Avery.Wash,AW,2016,9,181,Mertensia.ciliata,80-100,2,2,0.2
aspen,Avery.Wash,AW,2016,9,181,Potentilla.pulcherrima,0-20,4,4,0.4
aspen,Avery.Wash,AW,2016,10,190,Aquilegia.coerulea,20-40,1,1,0.1
aspen,Avery.Wash,AW,2016,10,190,Aquilegia.coerulea,40-60,3,3,0.3
aspen,Avery.Wash,AW,2016,10,190,Aquilegia.coerulea,60-80,3,3,0.3
aspen,Avery.Wash,AW,2016,10,190,Delphinium.barbeyi,60-80,46,46,4.6
aspen,Avery.Wash,AW,2016,10,190,Dugaldia.hoopesii,0-20,10,10,1
aspen,Avery.Wash,AW,2016,10,190,Geranium.richardsonii,0-20,5,5,0.5
aspen,Avery.Wash,AW,2016,10,190,Geranium.richardsonii,20-40,14,14,1.4
aspen,Avery.Wash,AW,2016,10,190,Geranium.richardsonii,60-80,11,11,1.1
aspen,Avery.Wash,AW,2016,10,190,Helianthella.quinquenervis,60-80,1,1,0.1
aspen,Avery.Wash,AW,2016,10,190,Hydrophyllum.fendleri,80-100,27,27,2.7
aspen,Avery.Wash,AW,2016,10,190,Lathyrus.leucanthus,0-20,6,6,0.6
aspen,Avery.Wash,AW,2016,10,190,Lathyrus.leucanthus,20-40,3,3,0.3
aspen,Avery.Wash,AW,2016,10,190,Ligusticum.porteri,0-20,5,5,0.5
aspen,Avery.Wash,AW,2016,10,190,Ligusticum.porteri,20-40,5,5,0.5
aspen,Avery.Wash,AW,2016,10,190,Ligusticum.porteri,60-80,3,3,0.3
aspen,Avery.Wash,AW,2016,10,190,Ligusticum.porteri,80-100,5,5,0.5
aspen,Avery.Wash,AW,2016,10,190,Potentilla.pulcherrima,0-20,7,7,0.7
aspen,Avery.Wash,AW,2016,10,190,Vicia.americana,0-20,6,6,0.6
aspen,Avery.Wash,AW,2016,10,190,Vicia.americana,20-40,10,10,1
aspen,Avery.Wash,AW,2016,10,190,Vicia.americana,60-80,14,14,1.4
aspen,Avery.Wash,AW,2016,11,196,Aquilegia.coerulea,40-60,1,1,0.1
aspen,Avery.Wash,AW,2016,11,196,Aquilegia.coerulea,60-80,2,2,0.2
aspen,Avery.Wash,AW,2016,11,196,Delphinium.barbeyi,60-80,49,49,4.9
aspen,Avery.Wash,AW,2016,11,196,Delphinium.barbeyi,80-100,8,8,0.8
aspen,Avery.Wash,AW,2016,11,196,Dugaldia.hoopesii,0-20,6,6,0.6
aspen,Avery.Wash,AW,2016,11,196,Erigeron.elatior,0-20,3,3,0.3
aspen,Avery.Wash,AW,2016,11,196,Geranium.richardsonii,0-20,5,5,0.5
aspen,Avery.Wash,AW,2016,11,196,Geranium.richardsonii,20-40,9,9,0.9
aspen,Avery.Wash,AW,2016,11,196,Geranium.richardsonii,60-80,4,4,0.4
aspen,Avery.Wash,AW,2016,11,196,Helianthella.quinquenervis,0-20,4,4,0.4
aspen,Avery.Wash,AW,2016,11,196,Ligusticum.porteri,0-20,5,5,0.5
aspen,Avery.Wash,AW,2016,11,196,Ligusticum.porteri,60-80,1,1,0.1
aspen,Avery.Wash,AW,2016,11,196,Ligusticum.porteri,80-100,2,2,0.2
aspen,Avery.Wash,AW,2016,11,196,Mertensia.ciliata,80-100,3,3,0.3
aspen,Avery.Wash,AW,2016,11,196,Potentilla.pulcherrima,0-20,1,1,0.1
aspen,Avery.Wash,AW,2016,11,196,Vicia.americana,0-20,4,4,0.4
aspen,Avery.Wash,AW,2016,11,196,Vicia.americana,20-40,10,10,1
aspen,Avery.Wash,AW,2016,11,196,Vicia.americana,60-80,10,10,1
aspen,Avery.Wash,AW,2016,12,204,Delphinium.barbeyi,0-20,7,7,0.7
aspen,Avery.Wash,AW,2016,12,204,Delphinium.barbeyi,20-40,19,19,1.9
aspen,Avery.Wash,AW,2016,12,204,Delphinium.barbeyi,40-60,9,9,0.9
aspen,Avery.Wash,AW,2016,12,204,Delphinium.barbeyi,60-80,38,38,3.8
aspen,Avery.Wash,AW,2016,12,204,Delphinium.barbeyi,80-100,53,53,5.3
aspen,Avery.Wash,AW,2016,12,204,Dugaldia.hoopesii,0-20,10,10,1
aspen,Avery.Wash,AW,2016,12,204,Erigeron.elatior,0-20,16,16,1.6
aspen,Avery.Wash,AW,2016,12,204,Erigeron.elatior,20-40,1,1,0.1
aspen,Avery.Wash,AW,2016,12,204,Erigeron.elatior,40-60,13,13,1.3
aspen,Avery.Wash,AW,2016,12,204,Geranium.richardsonii,0-20,1,1,0.1
aspen,Avery.Wash,AW,2016,12,204,Geranium.richardsonii,20-40,7,7,0.7
aspen,Avery.Wash,AW,2016,12,204,Geranium.richardsonii,60-80,2,2,0.2
aspen,Avery.Wash,AW,2016,12,204,Geranium.richardsonii,80-100,1,1,0.1
aspen,Avery.Wash,AW,2016,12,204,Heracleum.sphondylium,0-20,2,2,0.2
aspen,Avery.Wash,AW,2016,12,204,Heracleum.sphondylium,40-60,5,5,0.5
aspen,Avery.Wash,AW,2016,12,204,Heracleum.sphondylium,60-80,22,22,2.2
aspen,Avery.Wash,AW,2016,12,204,Heracleum.sphondylium,80-100,17,17,1.7
aspen,Avery.Wash,AW,2016,12,204,Ligularia.bigelovii,40-60,6,6,0.6
aspen,Avery.Wash,AW,2016,12,204,Potentilla.pulcherrima,0-20,12,12,1.2
aspen,Avery.Wash,AW,2016,12,204,Vicia.americana,0-20,2,2,0.2
aspen,Avery.Wash,AW,2016,13,210,Delphinium.barbeyi,0-20,13,13,1.3
aspen,Avery.Wash,AW,2016,13,210,Delphinium.barbeyi,20-40,29,29,2.9
aspen,Avery.Wash,AW,2016,13,210,Delphinium.barbeyi,40-60,108,108,10.8
aspen,Avery.Wash,AW,2016,13,210,Delphinium.barbeyi,60-80,42,42,4.2
aspen,Avery.Wash,AW,2016,13,210,Delphinium.barbeyi,80-100,81,81,8.1
aspen,Avery.Wash,AW,2016,13,210,Dugaldia.hoopesii,0-20,5,5,0.5
aspen,Avery.Wash,AW,2016,13,210,Erigeron.elatior,0-20,32,32,3.2
aspen,Avery.Wash,AW,2016,13,210,Erigeron.elatior,20-40,2,2,0.2
aspen,Avery.Wash,AW,2016,13,210,Erigeron.elatior,40-60,38,38,3.8
aspen,Avery.Wash,AW,2016,13,210,Erigeron.elatior,60-80,1,1,0.1
aspen,Avery.Wash,AW,2016,13,210,Erigeron.speciosus,0-20,2,2,0.2
aspen,Avery.Wash,AW,2016,13,210,Geranium.richardsonii,20-40,2,2,0.2
aspen,Avery.Wash,AW,2016,13,210,Heracleum.sphondylium,60-80,6,6,0.6
aspen,Avery.Wash,AW,2016,13,210,Heracleum.sphondylium,80-100,6,6,0.6
aspen,Avery.Wash,AW,2016,13,210,Ligularia.bigelovii,0-20,4,4,0.4
aspen,Avery.Wash,AW,2016,13,210,Ligularia.bigelovii,40-60,5,5,0.5
aspen,Avery.Wash,AW,2016,13,210,Potentilla.pulcherrima,0-20,2,2,0.2
aspen,Avery.Wash,AW,2016,13,210,Senecio.serra,20-40,4,4,0.4
aspen,Avery.Wash,AW,2016,14,219,0,60-80,0,0,0
aspen,Avery.Wash,AW,2016,14,219,Cirsium.parryi,80-100,2,2,0.2
aspen,Avery.Wash,AW,2016,14,219,Delphinium.barbeyi,80-100,2,2,0.2
aspen,Avery.Wash,AW,2016,14,219,Erigeron.elatior,0-20,30,30,3
aspen,Avery.Wash,AW,2016,14,219,Erigeron.elatior,20-40,1,1,0.1
aspen,Avery.Wash,AW,2016,14,219,Erigeron.elatior,40-60,33,33,3.3
aspen,Avery.Wash,AW,2016,14,219,Ligularia.bigelovii,0-20,4,4,0.4
aspen,Avery.Wash,AW,2016,15,226,0,60-80,0,0,0
aspen,Avery.Wash,AW,2016,15,226,Cirsium.parryi,80-100,1,1,0.1
aspen,Avery.Wash,AW,2016,15,226,Delphinium.barbeyi,80-100,3,3,0.3
aspen,Avery.Wash,AW,2016,15,226,Erigeron.elatior,0-20,13,13,1.3
aspen,Avery.Wash,AW,2016,15,226,Erigeron.elatior,20-40,2,2,0.2
aspen,Avery.Wash,AW,2016,15,226,Erigeron.elatior,40-60,19,19,1.9
aspen,Avery.Wash,AW,2016,15,226,Ligularia.bigelovii,0-20,4,4,0.4
aspen,Avery.Wash,AW,2016,15,226,Ligularia.bigelovii,40-60,1,1,0.1
aspen,Avery.Wash,AW,2016,16,237,0,0-20,0,0,0
aspen,Avery.Wash,AW,2016,16,237,0,40-60,0,0,0
aspen,Avery.Wash,AW,2016,16,237,0,60-80,0,0,0
aspen,Avery.Wash,AW,2016,16,237,Cirsium.parryi,80-100,1,1,0.1
aspen,Avery.Wash,AW,2016,16,237,Erigeron.elatior,20-40,3,3,0.3
aspen,Avery.Wash,AW,2016,17,250,0,0-20,0,0,0
aspen,Avery.Wash,AW,2016,17,250,0,20-40,0,0,0
aspen,Avery.Wash,AW,2016,17,250,0,40-60,0,0,0
aspen,Avery.Wash,AW,2016,17,250,0,60-80,0,0,0
aspen,Avery.Wash,AW,2016,17,250,0,80-100,0,0,0
aspen,Avery.Wash,AW,2016,18,257,0,0-20,0,0,0
aspen,Avery.Wash,AW,2016,18,257,0,20-40,0,0,0
aspen,Avery.Wash,AW,2016,18,257,0,40-60,0,0,0
aspen,Avery.Wash,AW,2016,18,257,0,60-80,0,0,0
aspen,Avery.Wash,AW,2016,18,257,0,80-100,0,0,0
aspen,Avery.Wash,AW,2017,1,135,0,0-20,0,0,0
aspen,Avery.Wash,AW,2017,1,135,0,20-40,0,0,0
aspen,Avery.Wash,AW,2017,1,135,0,40-60,0,0,0
aspen,Avery.Wash,AW,2017,1,135,0,60-80,0,0,0
aspen,Avery.Wash,AW,2017,1,135,0,80-100,0,0,0
aspen,Avery.Wash,AW,2017,2,143,0,0-20,0,0,0
aspen,Avery.Wash,AW,2017,2,143,0,20-40,0,0,0
aspen,Avery.Wash,AW,2017,2,143,0,40-60,0,0,0
aspen,Avery.Wash,AW,2017,2,143,0,60-80,0,0,0
aspen,Avery.Wash,AW,2017,2,143,Claytonia.lanceolata,80-100,32,32,3.2
aspen,Avery.Wash,AW,2017,3,152,0,0-20,0,0,0
aspen,Avery.Wash,AW,2017,3,152,0,40-60,0,0,0
aspen,Avery.Wash,AW,2017,3,152,Claytonia.lanceolata,20-40,6,6,0.6
aspen,Avery.Wash,AW,2017,3,152,Claytonia.lanceolata,60-80,159,159,15.9
aspen,Avery.Wash,AW,2017,3,152,Claytonia.lanceolata,80-100,667,667,66.7
aspen,Avery.Wash,AW,2017,4,159,Claytonia.lanceolata,0-20,8,8,0.8
aspen,Avery.Wash,AW,2017,4,159,Claytonia.lanceolata,60-80,40,40,4
aspen,Avery.Wash,AW,2017,4,159,Claytonia.lanceolata,80-100,142,142,14.2
aspen,Avery.Wash,AW,2017,4,159,Mertensia.fusiformis,0-20,5,5,0.5
aspen,Avery.Wash,AW,2017,4,159,Mertensia.fusiformis,20-40,3,3,0.3
aspen,Avery.Wash,AW,2017,4,159,Mertensia.fusiformis,40-60,9,9,0.9
aspen,Avery.Wash,AW,2017,4,159,Mertensia.fusiformis,60-80,45,45,4.5
aspen,Avery.Wash,AW,2017,4,159,Ranunculus.inamoenus,0-20,2,2,0.2
aspen,Avery.Wash,AW,2017,4,159,Ranunculus.inamoenus,20-40,4,4,0.4
aspen,Avery.Wash,AW,2017,4,159,Ranunculus.inamoenus,60-80,1,1,0.1
aspen,Avery.Wash,AW,2017,4,159,Viola.praemorsa,0-20,1,1,0.1
aspen,Avery.Wash,AW,2017,4,159,Viola.praemorsa,20-40,1,1,0.1
aspen,Avery.Wash,AW,2017,5,166,Claytonia.lanceolata,80-100,5,5,0.5
aspen,Avery.Wash,AW,2017,5,166,Hydrophyllum.fendleri,80-100,135,135,13.5
aspen,Avery.Wash,AW,2017,5,166,Mertensia.fusiformis,0-20,20,20,2
aspen,Avery.Wash,AW,2017,5,166,Mertensia.fusiformis,20-40,5,5,0.5
aspen,Avery.Wash,AW,2017,5,166,Mertensia.fusiformis,40-60,9,9,0.9
aspen,Avery.Wash,AW,2017,5,166,Mertensia.fusiformis,60-80,16,16,1.6
aspen,Avery.Wash,AW,2017,5,166,Ranunculus.inamoenus,0-20,3,3,0.3
aspen,Avery.Wash,AW,2017,5,166,Ranunculus.inamoenus,20-40,1,1,0.1
aspen,Avery.Wash,AW,2017,5,166,Taraxacum.officinale,0-20,2,2,0.2
aspen,Avery.Wash,AW,2017,5,166,Valeriana.occidentalis,80-100,1,1,0.1
aspen,Avery.Wash,AW,2017,5,166,Viola.praemorsa,0-20,33,33,3.3
aspen,Avery.Wash,AW,2017,5,166,Viola.praemorsa,20-40,1,1,0.1
aspen,Avery.Wash,AW,2017,5,166,Viola.praemorsa,40-60,11,11,1.1
aspen,Avery.Wash,AW,2017,5,166,Viola.praemorsa,60-80,2,2,0.2
aspen,Avery.Wash,AW,2017,6,172,Hydrophyllum.fendleri,0-20,5,5,0.5
aspen,Avery.Wash,AW,2017,6,172,Hydrophyllum.fendleri,20-40,29,29,2.9
aspen,Avery.Wash,AW,2017,6,172,Hydrophyllum.fendleri,40-60,3,3,0.3
aspen,Avery.Wash,AW,2017,6,172,Hydrophyllum.fendleri,60-80,51,51,5.1
aspen,Avery.Wash,AW,2017,6,172,Hydrophyllum.fendleri,80-100,625,625,62.5
aspen,Avery.Wash,AW,2017,6,172,Lathyrus.leucanthus,0-20,15,15,1.5
aspen,Avery.Wash,AW,2017,6,172,Lathyrus.leucanthus,20-40,1,1,0.1
aspen,Avery.Wash,AW,2017,6,172,Mertensia.fusiformis,0-20,2,2,0.2
aspen,Avery.Wash,AW,2017,6,172,Mertensia.fusiformis,60-80,3,3,0.3
aspen,Avery.Wash,AW,2017,6,172,Pseudocymopterus.montanus,60-80,1,1,0.1
aspen,Avery.Wash,AW,2017,6,172,Ranunculus.inamoenus,0-20,12,12,1.2
aspen,Avery.Wash,AW,2017,6,172,Ranunculus.inamoenus,20-40,2,2,0.2
aspen,Avery.Wash,AW,2017,6,172,Taraxacum.officinale,0-20,4,4,0.4
aspen,Avery.Wash,AW,2017,6,172,Taraxacum.officinale,40-60,1,1,0.1
aspen,Avery.Wash,AW,2017,6,172,Valeriana.occidentalis,80-100,1,1,0.1
aspen,Avery.Wash,AW,2017,6,172,Viola.praemorsa,0-20,8,8,0.8
aspen,Avery.Wash,AW,2017,6,172,Viola.praemorsa,40-60,3,3,0.3
aspen,Avery.Wash,AW,2017,6,172,Viola.praemorsa,60-80,2,2,0.2
aspen,Avery.Wash,AW,2017,7,178,Aquilegia.coerulea,60-80,1,1,0.1
aspen,Avery.Wash,AW,2017,7,178,Hydrophyllum.fendleri,0-20,1,1,0.1
aspen,Avery.Wash,AW,2017,7,178,Hydrophyllum.fendleri,20-40,10,10,1
aspen,Avery.Wash,AW,2017,7,178,Hydrophyllum.fendleri,40-60,14,14,1.4
aspen,Avery.Wash,AW,2017,7,178,Hydrophyllum.fendleri,60-80,65,65,6.5
aspen,Avery.Wash,AW,2017,7,178,Hydrophyllum.fendleri,80-100,391,391,39.1
aspen,Avery.Wash,AW,2017,7,178,Lathyrus.leucanthus,0-20,63,63,6.3
aspen,Avery.Wash,AW,2017,7,178,Lathyrus.leucanthus,20-40,4,4,0.4
aspen,Avery.Wash,AW,2017,7,178,Lathyrus.leucanthus,60-80,2,2,0.2
aspen,Avery.Wash,AW,2017,7,178,Potentilla.pulcherrima,0-20,4,4,0.4
aspen,Avery.Wash,AW,2017,7,178,Taraxacum.officinale,0-20,3,3,0.3
aspen,Avery.Wash,AW,2017,7,178,Taraxacum.officinale,40-60,1,1,0.1
aspen,Avery.Wash,AW,2017,8,186,Aquilegia.coerulea,60-80,7,7,0.7
aspen,Avery.Wash,AW,2017,8,186,Delphinium.barbeyi,80-100,85,85,8.5
aspen,Avery.Wash,AW,2017,8,186,Dugaldia.hoopesii,0-20,1,1,0.1
aspen,Avery.Wash,AW,2017,8,186,Geranium.richardsonii,20-40,5,5,0.5
aspen,Avery.Wash,AW,2017,8,186,Geranium.richardsonii,60-80,1,1,0.1
aspen,Avery.Wash,AW,2017,8,186,Heracleum.sphondylium,0-20,1,1,0.1
aspen,Avery.Wash,AW,2017,8,186,Heracleum.sphondylium,20-40,1,1,0.1
aspen,Avery.Wash,AW,2017,8,186,Heracleum.sphondylium,40-60,2,2,0.2
aspen,Avery.Wash,AW,2017,8,186,Heracleum.sphondylium,60-80,2,2,0.2
aspen,Avery.Wash,AW,2017,8,186,Heracleum.sphondylium,80-100,1,1,0.1
aspen,Avery.Wash,AW,2017,8,186,Hydrophyllum.fendleri,60-80,5,5,0.5
aspen,Avery.Wash,AW,2017,8,186,Hydrophyllum.fendleri,80-100,36,36,3.6
aspen,Avery.Wash,AW,2017,8,186,Lathyrus.leucanthus,0-20,57,57,5.7
aspen,Avery.Wash,AW,2017,8,186,Lathyrus.leucanthus,20-40,1,1,0.1
aspen,Avery.Wash,AW,2017,8,186,Potentilla.pulcherrima,0-20,9,9,0.9
aspen,Avery.Wash,AW,2017,9,193,Aquilegia.coerulea,60-80,2,2,0.2
aspen,Avery.Wash,AW,2017,9,193,Delphinium.barbeyi,80-100,110,110,11
aspen,Avery.Wash,AW,2017,9,193,Dugaldia.hoopesii,0-20,1,1,0.1
aspen,Avery.Wash,AW,2017,9,193,Geranium.richardsonii,20-40,19,19,1.9
aspen,Avery.Wash,AW,2017,9,193,Geranium.richardsonii,60-80,3,3,0.3
aspen,Avery.Wash,AW,2017,9,193,Heracleum.sphondylium,0-20,2,2,0.2
aspen,Avery.Wash,AW,2017,9,193,Heracleum.sphondylium,20-40,3,3,0.3
aspen,Avery.Wash,AW,2017,9,193,Heracleum.sphondylium,40-60,8,8,0.8
aspen,Avery.Wash,AW,2017,9,193,Heracleum.sphondylium,60-80,21,21,2.1
aspen,Avery.Wash,AW,2017,9,193,Heracleum.sphondylium,80-100,3,3,0.3
aspen,Avery.Wash,AW,2017,9,193,Lathyrus.leucanthus,0-20,24,24,2.4
aspen,Avery.Wash,AW,2017,9,193,Ligusticum.porteri,0-20,2,2,0.2
aspen,Avery.Wash,AW,2017,9,193,Ligusticum.porteri,20-40,4,4,0.4
aspen,Avery.Wash,AW,2017,9,193,Ligusticum.porteri,40-60,3,3,0.3
aspen,Avery.Wash,AW,2017,9,193,Ligusticum.porteri,60-80,1,1,0.1
aspen,Avery.Wash,AW,2017,9,193,Ligusticum.porteri,80-100,3,3,0.3
aspen,Avery.Wash,AW,2017,9,193,Potentilla.pulcherrima,0-20,16,16,1.6
aspen,Avery.Wash,AW,2017,9,193,Vicia.americana,20-40,24,24,2.4
aspen,Avery.Wash,AW,2017,9,193,Vicia.americana,40-60,4,4,0.4
aspen,Avery.Wash,AW,2017,9,193,Vicia.americana,60-80,12,12,1.2
aspen,Avery.Wash,AW,2017,10,201,Delphinium.barbeyi,0-20,53,53,5.3
aspen,Avery.Wash,AW,2017,10,201,Delphinium.barbeyi,40-60,10,10,1
aspen,Avery.Wash,AW,2017,10,201,Delphinium.barbeyi,80-100,97,97,9.7
aspen,Avery.Wash,AW,2017,10,201,Dugaldia.hoopesii,0-20,5,5,0.5
aspen,Avery.Wash,AW,2017,10,201,Erigeron.elatior,0-20,1,1,0.1
aspen,Avery.Wash,AW,2017,10,201,Erigeron.elatior,40-60,2,2,0.2
aspen,Avery.Wash,AW,2017,10,201,Geranium.richardsonii,20-40,3,3,0.3
aspen,Avery.Wash,AW,2017,10,201,Heracleum.sphondylium,20-40,2,2,0.2
aspen,Avery.Wash,AW,2017,10,201,Heracleum.sphondylium,40-60,12,12,1.2
aspen,Avery.Wash,AW,2017,10,201,Heracleum.sphondylium,60-80,55,55,5.5
aspen,Avery.Wash,AW,2017,10,201,Heracleum.sphondylium,80-100,19,19,1.9
aspen,Avery.Wash,AW,2017,10,201,Ligusticum.porteri,0-20,4,4,0.4
aspen,Avery.Wash,AW,2017,10,201,Ligusticum.porteri,20-40,3,3,0.3
