site,site.code,year,date,doy,week,observer,obs.start,obs.end,tot.obs.length,weather,habitat,habitat.code,no.bees,genus,species,caste,behaviour,plant.species,resource.coll,flw.per.meter.sum.week,flw.count.sum.week
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,09:35:00,10:35:00,60,clear.warm,dry,d,1,Bombus,bifarius,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,09:35:00,10:35:00,60,clear.warm,wet,w,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,NA,94.8,237
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,09:35:00,10:35:00,60,clear.warm,wet,w,1,Bombus,bifarius,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,7-Jun-15,158,5,JEO,16:08:00,17:08:00,60,clear.warm,aspen,a,1,Bombus,flavifrons,q,frg,Mertensia.fusiformis,NA,71.6,179
Avery.Wash,AW,2015,7-Jun-15,158,5,JEO,16:08:00,17:08:00,60,clear.warm,aspen,a,1,Bombus,flavifrons,q,frg,Mertensia.fusiformis,NA,71.6,179
Avery.Wash,AW,2015,7-Jun-15,158,5,JEO,16:08:00,17:08:00,60,clear.warm,aspen,a,1,Bombus,bifarius,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,7-Jun-15,158,5,JEO,16:08:00,17:08:00,60,clear.warm,wet,w,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,NA,71.6,179
Avery.Wash,AW,2015,7-Jun-15,158,5,JEO,16:08:00,17:08:00,60,clear.warm,wet,w,1,Bombus,appositus,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,14:20:00,15:20:00,60,clear.warm,aspen,a,1,Bombus,flavifrons,q,frg,Hydrophyllum.fendleri,NA,1.6,4
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,14:20:00,15:20:00,60,clear.warm,aspen,a,1,Bombus,flavifrons,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,14:20:00,15:20:00,60,clear.warm,aspen,a,1,Bombus,flavifrons,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,14:20:00,15:20:00,60,clear.warm,dry,d,1,Bombus,flavifrons,q,frg,Delphinium.nuttallianum,NA,18,45
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,14:20:00,15:20:00,60,clear.warm,dry,d,1,Bombus,flavifrons,q,frg,Delphinium.nuttallianum,NA,18,45
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,14:20:00,15:20:00,60,clear.warm,dry,d,1,Bombus,flavifrons,q,frg,Delphinium.nuttallianum,NA,18,45
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,14:20:00,15:20:00,60,clear.warm,dry,d,1,Bombus,appositus,q,frg,Delphinium.nuttallianum,NA,18,45
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,14:20:00,15:20:00,60,clear.warm,dry,d,1,Bombus,appositus,q,frg,Delphinium.nuttallianum,NA,18,45
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,14:20:00,15:20:00,60,clear.warm,dry,d,1,Bombus,appositus,q,frg,Delphinium.nuttallianum,NA,18,45
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,14:20:00,15:20:00,60,clear.warm,dry,d,1,Bombus,appositus,q,frg,Delphinium.nuttallianum,NA,18,45
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,14:20:00,15:20:00,60,clear.warm,dry,d,1,Bombus,appositus,q,frg,Delphinium.nuttallianum,NA,18,45
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,14:20:00,15:20:00,60,clear.warm,dry,d,1,Bombus,flavifrons,q,frg,Delphinium.nuttallianum,NA,18,45
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,14:20:00,15:20:00,60,clear.warm,dry,d,1,Bombus,appositus,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,14:20:00,15:20:00,60,clear.warm,wet,w,1,Bombus,flavifrons,q,frg,Hydrophyllum.fendleri,NA,1.6,4
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,14:20:00,15:20:00,60,clear.warm,wet,w,1,Bombus,flavifrons,q,frg,Hydrophyllum.fendleri,NA,1.6,4
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,14:20:00,15:20:00,60,clear.warm,wet,w,1,Bombus,flavifrons,q,frg,Delphinium.nuttallianum,NA,18,45
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,14:20:00,15:20:00,60,clear.warm,wet,w,1,Bombus,flavifrons,q,frg,Delphinium.nuttallianum,NA,18,45
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,14:20:00,15:20:00,60,clear.warm,wet,w,1,Bombus,appositus,q,ft,NA,NA,NA,NA
Avery.Wash,AW,2015,17-Jun-15,168,6,JEO,14:20:00,15:20:00,60,clear.warm,wet,w,1,Bombus,appositus,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,19-Jun-15,170,6,JEO,14:30:00,15:00:00,30,clear.warm,aspen,a,1,Bombus,flavifrons,q,frg,Hydrophyllum.fendleri,NA,1.6,4
Avery.Wash,AW,2015,19-Jun-15,170,6,JEO,14:30:00,15:00:00,30,clear.warm,aspen,a,1,Bombus,flavifrons,q,frg,Hydrophyllum.fendleri,NA,1.6,4
Avery.Wash,AW,2015,19-Jun-15,170,6,JEO,14:30:00,15:00:00,30,clear.warm,aspen,a,1,Bombus,flavifrons,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,19-Jun-15,170,6,JEO,14:30:00,15:00:00,30,clear.warm,dry,d,1,Bombus,flavifrons,q,frg,Delphinium.nuttallianum,NA,18,45
Avery.Wash,AW,2015,19-Jun-15,170,6,JEO,14:30:00,15:00:00,30,clear.warm,wet,w,1,Bombus,flavifrons,q,frg,Distegia.involucrata,NA,NA,NA
Avery.Wash,AW,2015,19-Jun-15,170,6,JEO,14:30:00,15:00:00,30,clear.warm,wet,w,1,Bombus,flavifrons,q,frg,Hydrophyllum.fendleri,NA,1.6,4
Avery.Wash,AW,2015,19-Jun-15,170,6,JEO,14:30:00,15:00:00,30,clear.warm,wet,w,1,Bombus,bifarius,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,26-Jun-15,177,7,JEO,12:35:00,13:35:00,60,clear.warm,aspen,a,1,Bombus,flavifrons,q,frg,Hydrophyllum.fendleri,NA,77.6,194
Avery.Wash,AW,2015,26-Jun-15,177,7,JEO,12:35:00,13:35:00,60,clear.warm,aspen,a,1,Bombus,flavifrons,q,frg,Mertensia.ciliata,NA,0.8,2
Avery.Wash,AW,2015,26-Jun-15,177,7,JEO,12:35:00,13:35:00,60,clear.warm,dry,d,1,Bombus,appositus,q,frg,Lathyrus.leucanthus,NA,128.4,321
Avery.Wash,AW,2015,26-Jun-15,177,7,JEO,12:35:00,13:35:00,60,clear.warm,dry,d,1,Bombus,flavifrons,q,frg,Delphinium.nuttallianum,NA,6.8,17
Avery.Wash,AW,2015,26-Jun-15,177,7,JEO,12:35:00,13:35:00,60,clear.warm,dry,d,1,Bombus,nevadensis,q,ft,NA,NA,NA,NA
Avery.Wash,AW,2015,26-Jun-15,177,7,JEO,12:35:00,13:35:00,60,clear.warm,wet,w,1,Bombus,nevadensis,q,frg,Hydrophyllum.fendleri,NA,77.6,194
Avery.Wash,AW,2015,26-Jun-15,177,7,JEO,12:35:00,13:35:00,60,clear.warm,wet,w,1,Bombus,flavifrons,q,frg,Hydrophyllum.fendleri,NA,77.6,194
Avery.Wash,AW,2015,26-Jun-15,177,7,JEO,12:35:00,13:35:00,60,clear.warm,wet,w,1,Bombus,appositus,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,2-Jul-15,183,8,JEO+JAB,10:15:00,11:15:00,60,clear.warm,aspen,a,1,Bombus,flavifrons,q,frg,Hydrophyllum.fendleri,NA,62.4,156
Avery.Wash,AW,2015,2-Jul-15,183,8,JEO+JAB,10:15:00,11:15:00,60,clear.warm,aspen,a,1,Bombus,flavifrons,q,frg,Hydrophyllum.fendleri,NA,62.4,156
Avery.Wash,AW,2015,2-Jul-15,183,8,JEO+JAB,10:15:00,11:15:00,60,clear.warm,aspen,a,1,Bombus,appositus,q,ft,NA,NA,NA,NA
Avery.Wash,AW,2015,2-Jul-15,183,8,JEO+JAB,10:15:00,11:15:00,60,clear.warm,aspen,a,1,Bombus,flavifrons,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,2-Jul-15,183,8,JEO+JAB,10:15:00,11:15:00,60,clear.warm,dry,d,1,Bombus,appositus,q,frg,Lathyrus.leucanthus,NA,278.4,696
Avery.Wash,AW,2015,2-Jul-15,183,8,JEO+JAB,10:15:00,11:15:00,60,clear.warm,dry,d,1,Bombus,appositus,q,frg,Delphinium.nuttallianum,NA,0.4,1
Avery.Wash,AW,2015,2-Jul-15,183,8,JEO+JAB,10:15:00,11:15:00,60,clear.warm,dry,d,1,Bombus,appositus,q,frg,Vicia.americana,NA,31.2,78
Avery.Wash,AW,2015,2-Jul-15,183,8,JEO+JAB,10:15:00,11:15:00,60,clear.warm,dry,d,1,Bombus,appositus,q,frg,Vicia.americana,NA,31.2,78
Avery.Wash,AW,2015,2-Jul-15,183,8,JEO+JAB,10:15:00,11:15:00,60,clear.warm,dry,d,1,Bombus,appositus,q,frg,Lathyrus.leucanthus,NA,278.4,696
Avery.Wash,AW,2015,2-Jul-15,183,8,JEO+JAB,10:15:00,11:15:00,60,clear.warm,dry,d,1,Bombus,appositus,q,ft,NA,NA,NA,NA
Avery.Wash,AW,2015,2-Jul-15,183,8,JEO+JAB,10:15:00,11:15:00,60,clear.warm,wet,w,1,Bombus,appositus,q,frg,Aquilegia.coerulea,NA,5.2,13
Avery.Wash,AW,2015,2-Jul-15,183,8,JEO+JAB,10:15:00,11:15:00,60,clear.warm,wet,w,1,Bombus,appositus,q,frg,Hydrophyllum.fendleri,NA,62.4,156
Avery.Wash,AW,2015,2-Jul-15,183,8,JEO.JAB,10:15:00,11:15:00,60,clear.warm,wet,w,1,Bombus,appositus,w,frg,Vicia.americana,NA,31.2,78
Avery.Wash,AW,2015,2-Jul-15,183,8,JEO+JAB,10:15:00,11:15:00,60,clear.warm,wet,w,1,Bombus,appositus,q,frg,Vicia.americana,NA,31.2,78
Avery.Wash,AW,2015,2-Jul-15,183,8,JEO+JAB,10:15:00,11:15:00,60,clear.warm,wet,w,1,Bombus,flavifrons,q,frg,Mertensia.ciliata,NA,NA,NA
Avery.Wash,AW,2015,2-Jul-15,183,8,JEO+JAB,10:15:00,11:15:00,60,clear.warm,wet,w,1,Bombus,rufocinctus,q,frg,Hydrophyllum.fendleri,NA,62.4,156
Avery.Wash,AW,2015,2-Jul-15,183,8,JEO+JAB,10:15:00,11:15:00,60,clear.warm,wet,w,1,Bombus,appositus,q,ft,NA,NA,NA,NA
Avery.Wash,AW,2015,2-Jul-15,183,8,JEO+JAB,10:15:00,11:15:00,60,clear.warm,wet,w,1,Bombus,nevadensis,q,ft,NA,NA,NA,NA
Avery.Wash,AW,2015,2-Jul-15,183,8,JEO+JAB,10:15:00,11:15:00,60,clear.warm,wet,w,1,Bombus,flavifrons,q,ft,NA,NA,NA,NA
Avery.Wash,AW,2015,2-Jul-15,183,8,JEO+JAB,10:15:00,11:15:00,60,clear.warm,wet,w,1,Bombus,insularis,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,aspen,a,1,Bombus,flavifrons,w,frg,Delphinium.barbeyi,NA,14.4,36
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,aspen,a,1,Bombus,flavifrons,w,frg,Helianthella.quinquenervis,NA,10.8,27
Avery.Wash,AW,2015,10-Jul-15,191,9,JEO.GAH,09:45:00,10:45:00,60,cloudy.mild,dry,d,1,Bombus,appositus,w,frg,Vicia.americana,NA,56.800000000000004,142
Avery.Wash,AW,2015,10-Jul-15,191,9,JEO.GAH,09:45:00,10:45:00,60,cloudy.mild,dry,d,1,Bombus,appositus,w,frg,Vicia.americana,NA,56.800000000000004,142
Avery.Wash,AW,2015,10-Jul-15,191,9,JEO.GAH,09:45:00,10:45:00,60,cloudy.mild,dry,d,1,Bombus,appositus,w,frg,Vicia.americana,NA,56.800000000000004,142
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,dry,d,1,Bombus,flavifrons,w,frg,Helianthella.quinquenervis,NA,10.8,27
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,dry,d,1,Bombus,flavifrons,w,frg,Helianthella.quinquenervis,NA,10.8,27
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,dry,d,1,Bombus,flavifrons,w,frg,Helianthella.quinquenervis,NA,10.8,27
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,dry,d,1,Bombus,mixtus,w,frg,Helianthella.quinquenervis,NA,10.8,27
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,dry,d,1,Bombus,mixtus,w,frg,Helianthella.quinquenervis,NA,10.8,27
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,dry,d,1,Bombus,mixtus,w,frg,Helianthella.quinquenervis,NA,10.8,27
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,dry,d,1,Bombus,bifarius,w,frg,Helianthella.quinquenervis,NA,10.8,27
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,dry,d,1,Bombus,bifarius,w,frg,Helianthella.quinquenervis,NA,10.8,27
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,dry,d,1,Bombus,flavifrons,w,frg,Vicia.americana,NA,56.800000000000004,142
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,dry,d,1,Bombus,flavifrons,q,frg,Vicia.americana,NA,56.800000000000004,142
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,dry,d,1,Bombus,flavifrons,q,frg,Vicia.americana,NA,56.800000000000004,142
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,dry,d,1,Bombus,appositus,q,ft,NA,NA,NA,NA
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,wet,w,1,Bombus,flavifrons,q,frg,Mertensia.ciliata,NA,4,10
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,wet,w,1,Bombus,flavifrons,q,frg,Helianthella.quinquenervis,NA,10.8,27
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,wet,w,1,Bombus,appositus,q,frg,Hydrophyllum.fendleri,NA,32.8,82
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,wet,w,1,Bombus,flavifrons,w,frg,Helianthella.quinquenervis,NA,10.8,27
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,wet,w,1,Bombus,flavifrons,w,frg,Helianthella.quinquenervis,NA,10.8,27
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,wet,w,1,Bombus,flavifrons,w,frg,Helianthella.quinquenervis,NA,10.8,27
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,wet,w,1,Bombus,flavifrons,w,frg,Helianthella.quinquenervis,NA,10.8,27
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,wet,w,1,Bombus,flavifrons,w,frg,Helianthella.quinquenervis,NA,10.8,27
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,wet,w,1,Bombus,flavifrons,w,frg,Helianthella.quinquenervis,NA,10.8,27
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,wet,w,1,Bombus,appositus,q,frg,Delphinium.barbeyi,NA,14.4,36
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,wet,w,1,Bombus,mixtus,w,frg,Hydrophyllum.fendleri,NA,32.8,82
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,wet,w,1,Bombus,flavifrons,q,frg,Mertensia.ciliata,NA,4,10
Avery.Wash,AW,2015,10-Jul-15,191,9,JEO.GAH,09:45:00,10:45:00,60,cloudy.mild,wet,w,1,Bombus,appositus,w,frg,Delphinium.barbeyi,NA,14.4,36
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,wet,w,1,Bombus,appositus,q,frg,Vicia.americana,NA,56.800000000000004,142
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,wet,w,1,Bombus,rufocinctus,q,frg,Dugaldia.hoopesii,NA,10.4,26
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,wet,w,1,Bombus,flavifrons,w,frg,Mertensia.ciliata,NA,4,10
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,wet,w,1,Bombus,flavifrons,w,frg,Vicia.americana,NA,56.800000000000004,142
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,wet,w,1,Bombus,flavifrons,q,frg,Vicia.americana,NA,56.800000000000004,142
Avery.Wash,AW,2015,10-Jul-15,191,9,JEO.GAH,09:45:00,10:45:00,60,cloudy.mild,wet,w,1,Bombus,appositus,w,frg,Vicia.americana,NA,56.800000000000004,142
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,wet,w,1,Bombus,appositus,q,frg,Delphinium.barbeyi,NA,14.4,36
Avery.Wash,AW,2015,10-Jul-15,191,9,GAH+JEO,09:45:00,10:45:00,60,cloudy.mild,wet,w,1,Bombus,appositus,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,16-Jul-15,197,10,JEO,14:05:00,15:05:00,60,clear.warm,aspen,a,1,Bombus,flavifrons,w,frg,Aconitum.columbianum,nectar,NA,NA
Copper.Creek,CC,2015,9-Jul-15,190,9,JEO,10:20:00,11:20:00,60,partlycloudy.warm.recentrain,dry,d,1,Bombus,appositus,w,frg,Vicia.americana,NA,44.4,111
Copper.Creek,CC,2015,9-Jul-15,190,9,JEO,10:20:00,11:20:00,60,partlycloudy.warm.recentrain,wet,w,1,Bombus,appositus,w,frg,Delphinium.barbeyi,NA,16.8,42
Frogs.Pond,FP,2015,9-Jul-15,190,9,JEO,12:50:00,13:50:00,60,partlycloudy.warm,wet,w,1,Bombus,appositus,w,frg,Delphinium.barbeyi,NA,18.4,46
Avery.Wash,AW,2015,16-Jul-15,197,10,JEO,14:05:00,15:05:00,60,clear.warm,dry,d,1,Bombus,flavifrons,q,frg,Vicia.americana,nectar,108,270
Avery.Wash,AW,2015,16-Jul-15,197,10,JEO,14:05:00,15:05:00,60,clear.warm,dry,d,1,Bombus,appositus,q,frg,Vicia.americana,nectar,108,270
Gothic.Spires,GS,2015,10-Jul-15,191,9,JEO.GAH,13:10:00,14:10:00,60,mostlycloudy.warm,wet,w,1,Bombus,appositus,w,frg,Aconitum.columbianum,NA,47.2,118
Avery.Wash,AW,2015,16-Jul-15,197,10,JEO,14:05:00,15:05:00,60,clear.warm,dry,d,1,Bombus,flavifrons,q,frg,Vicia.americana,nectar,108,270
Avery.Wash,AW,2015,16-Jul-15,197,10,JEO,14:05:00,15:05:00,60,clear.warm,dry,d,1,Bombus,californicus,w,frg,Vicia.americana,nectar,108,270
Avery.Wash,AW,2015,16-Jul-15,197,10,JEO,14:05:00,15:05:00,60,clear.warm,dry,d,1,Bombus,mixtus,q,frg,Dugaldia.hoopesii,nectar,12.8,32
Avery.Wash,AW,2015,16-Jul-15,197,10,JEO,14:05:00,15:05:00,60,clear.warm,dry,d,1,Bombus,appositus,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,16-Jul-15,197,10,JEO,14:05:00,15:05:00,60,clear.warm,wet,w,1,Bombus,flavifrons,w,frg,Vicia.americana,nectar,108,270
Avery.Wash,AW,2015,16-Jul-15,197,10,JEO,14:05:00,15:05:00,60,clear.warm,wet,w,1,Bombus,flavifrons,w,frg,Helianthella.quinquenervis,nectar,11.2,28
Avery.Wash,AW,2015,16-Jul-15,197,10,JEO,14:05:00,15:05:00,60,clear.warm,wet,w,1,Bombus,mixtus,w,frg,Helianthella.quinquenervis,nectar,11.2,28
Rosy.Hills,RH,2015,9-Jul-15,190,9,JEO,15:00:00,16:00:00,60,partlycloudy.warm,aspen,a,1,Bombus,appositus,w,frg,Helianthella.quinquenervis,NA,78.8,197
Avery.Wash,AW,2015,16-Jul-15,197,10,JEO,14:05:00,15:05:00,60,clear.warm,wet,w,1,Bombus,flavifrons,w,frg,Hydrophyllum.fendleri,nectar,4,10
Avery.Wash,AW,2015,16-Jul-15,197,10,JEO,14:05:00,15:05:00,60,clear.warm,wet,w,1,Bombus,flavifrons,w,frg,Hydrophyllum.fendleri,nectar,4,10
Avery.Wash,AW,2015,16-Jul-15,197,10,JEO,14:05:00,15:05:00,60,clear.warm,wet,w,1,Bombus,flavifrons,w,frg,Hydrophyllum.fendleri,pollen,4,10
Avery.Wash,AW,2015,16-Jul-15,197,10,JEO,14:05:00,15:05:00,60,clear.warm,wet,w,1,Bombus,mixtus,w,frg,Erigeron.elatior,nectar,22,55
Rosy.Hills,RH,2015,9-Jul-15,190,9,JEO,15:00:00,16:00:00,60,partlycloudy.warm,dry,d,1,Bombus,appositus,w,ft,NA,NA,NA,NA
Rosy.Hills,RH,2015,9-Jul-15,190,9,JEO,15:00:00,16:00:00,60,partlycloudy.warm,wet,w,1,Bombus,appositus,w,frg,Delphinium.barbeyi,NA,10,25
Rosy.Hills,RH,2015,9-Jul-15,190,9,JEO,15:00:00,16:00:00,60,partlycloudy.warm,wet,w,1,Bombus,appositus,w,frg,Delphinium.barbeyi,NA,10,25
Avery.Wash,AW,2015,16-Jul-15,197,10,JEO,14:05:00,15:05:00,60,clear.warm,wet,w,1,Bombus,flavifrons,w,frg,Delphinium.barbeyi,nectar,83.2,208
Avery.Wash,AW,2015,16-Jul-15,197,10,JEO,14:05:00,15:05:00,60,clear.warm,wet,w,1,Bombus,appositus,q,ft,NA,NA,NA,NA
Avery.Wash,AW,2015,16-Jul-15,197,10,JEO,14:05:00,15:05:00,60,clear.warm,wet,w,1,Bombus,appositus,q,ft,NA,NA,NA,NA
Avery.Wash,AW,2015,16-Jul-15,197,10,JEO,14:05:00,15:05:00,60,clear.warm,wet,w,1,Bombus,appositus,q,ns,NA,NA,NA,NA
Avery.Wash,AW,2015,27-Jul-15,208,11,JEO,16:40:00,17:40:00,60,partlycloudy.warm,aspen,a,1,Bombus,mixtus,m,frg,Erigeron.elatior,nectar,64,160
Avery.Wash,AW,2015,27-Jul-15,208,11,JEO,16:40:00,17:40:00,60,partlycloudy.warm,aspen,a,1,Bombus,mixtus,w,frg,Erigeron.elatior,nectar,64,160
Avery.Wash,AW,2015,27-Jul-15,208,11,JEO,16:40:00,17:40:00,60,partlycloudy.warm,aspen,a,1,Bombus,bifarius,w,frg,Ligularia.bigelovii,nectar,8.8,22
Avery.Wash,AW,2015,27-Jul-15,208,11,JEO,16:40:00,17:40:00,60,partlycloudy.warm,aspen,a,1,Bombus,flavifrons,w,frg,Delphinium.barbeyi,nectar.and.pollen,211.20000000000002,528
