site.code,year,week,species,plant.species,n_interactions,total_minutes,interaction_rate
AW,2015,12,appositus,Vicia.americana,1,60,0.016666666666666666
AW,2015,12,bifarius,Dugaldia.hoopesii,7,60,0.11666666666666667
AW,2015,12,bifarius,Erigeron.elatior,8,60,0.13333333333333333
AW,2015,12,bifarius,Heliomeris.multiflora,14,60,0.23333333333333334
AW,2015,12,bifarius,Heterotheca.villosa,1,60,0.016666666666666666
AW,2015,12,bifarius,Ligularia.bigelovii,2,60,0.03333333333333333
AW,2015,12,bifarius,Senecio.serra,8,60,0.13333333333333333
AW,2015,12,bifarius,Solidago.multiradiata,1,60,0.016666666666666666
AW,2015,12,flavifrons,Cirsium.parryi,8,60,0.13333333333333333
AW,2015,12,flavifrons,Delphinium.barbeyi,26,60,0.43333333333333335
AW,2015,12,flavifrons,Erigeron.elatior,1,60,0.016666666666666666
AW,2015,12,flavifrons,Ligularia.bigelovii,11,60,0.18333333333333332
AW,2015,12,flavifrons,Senecio.serra,9,60,0.15
AW,2015,12,flavifrons,Vicia.americana,1,60,0.016666666666666666
AW,2015,12,mixtus,Erigeron.elatior,1,60,0.016666666666666666
AW,2015,12,mixtus,Ligularia.bigelovii,3,60,0.05
AW,2015,12,rufocinctus,Heliomeris.multiflora,1,60,0.016666666666666666
AW,2015,13,appositus,Agoseris.glauca,1,60,0.016666666666666666
AW,2015,13,appositus,Cirsium.parryi,2,60,0.03333333333333333
AW,2015,13,appositus,Delphinium.barbeyi,2,60,0.03333333333333333
AW,2015,13,appositus,Gentiana.parryi,7,60,0.11666666666666667
AW,2015,13,appositus,Heliomeris.multiflora,2,60,0.03333333333333333
AW,2015,13,appositus,Senecio.serra,1,60,0.016666666666666666
AW,2015,13,bifarius,Erigeron.elatior,2,60,0.03333333333333333
AW,2015,13,bifarius,Gentiana.parryi,1,60,0.016666666666666666
AW,2015,13,bifarius,Heliomeris.multiflora,16,60,0.26666666666666666
AW,2015,13,bifarius,Senecio.serra,4,60,0.06666666666666667
AW,2015,13,flavifrons,Agoseris.glauca,1,60,0.016666666666666666
AW,2015,13,flavifrons,Cirsium.parryi,10,60,0.16666666666666666
AW,2015,13,flavifrons,Delphinium.barbeyi,1,60,0.016666666666666666
AW,2015,13,flavifrons,Heliomeris.multiflora,35,60,0.5833333333333334
AW,2015,13,flavifrons,Ligularia.bigelovii,1,60,0.016666666666666666
AW,2015,13,flavifrons,Senecio.serra,58,60,0.9666666666666667
AW,2015,13,flavifrons,Vicia.americana,1,60,0.016666666666666666
AW,2015,13,insularis,Senecio.serra,3,60,0.05
AW,2015,13,mixtus,Heliomeris.multiflora,5,60,0.08333333333333333
AW,2015,13,mixtus,Senecio.serra,2,60,0.03333333333333333
AW,2015,13,rufocinctus,Heliomeris.multiflora,1,60,0.016666666666666666
AW,2015,13,rufocinctus,Senecio.serra,2,60,0.03333333333333333
AW,2015,14,appositus,Gentiana.parryi,3,60,0.05
AW,2015,14,appositus,Heliomeris.multiflora,1,60,0.016666666666666666
AW,2015,14,appositus,Vicia.americana,4,60,0.06666666666666667
AW,2015,14,bifarius,Heliomeris.multiflora,2,60,0.03333333333333333
AW,2015,14,bifarius,Senecio.serra,1,60,0.016666666666666666
AW,2015,14,flavifrons,Chamerion.danielsii,3,60,0.05
AW,2015,14,flavifrons,Cirsium.parryi,4,60,0.06666666666666667
AW,2015,14,flavifrons,Heliomeris.multiflora,12,60,0.2
AW,2015,14,flavifrons,Senecio.serra,25,60,0.4166666666666667
AW,2015,14,flavifrons,Vicia.americana,1,60,0.016666666666666666
AW,2015,14,insularis,Heliomeris.multiflora,2,60,0.03333333333333333
AW,2015,14,mixtus,Senecio.serra,1,60,0.016666666666666666
AW,2015,14,rufocinctus,Heliomeris.multiflora,1,60,0.016666666666666666
AW,2015,15,appositus,Gentiana.parryi,1,60,0.016666666666666666
AW,2015,15,appositus,Heliomeris.multiflora,1,60,0.016666666666666666
AW,2015,15,bifarius,Heliomeris.multiflora,2,60,0.03333333333333333
AW,2015,15,bifarius,Senecio.serra,1,60,0.016666666666666666
AW,2015,15,flavifrons,Cirsium.parryi,4,60,0.06666666666666667
AW,2015,15,flavifrons,Heliomeris.multiflora,12,60,0.2
AW,2015,15,flavifrons,Senecio.serra,25,60,0.4166666666666667
AW,2015,15,insularis,Heliomeris.multiflora,2,60,0.03333333333333333
AW,2016,3,bifarius,Mertensia.fusiformis,2,60,0.03333333333333333
AW,2016,4,bifarius,Mertensia.fusiformis,1,60,0.016666666666666666
AW,2016,4,bifarius,Taraxacum.officinale,1,60,0.016666666666666666
AW,2016,5,bifarius,Mertensia.fusiformis,5,60,0.08333333333333333
AW,2016,5,bifarius,Ranunculus.inamoenus,3,60,0.05
AW,2016,5,bifarius,Salix.sp,8,60,0.13333333333333333
AW,2016,6,bifarius,Taraxacum.officinale,2,60,0.03333333333333333
AW,2016,7,appositus,Delphinium.nuttallianum,1,60,0.016666666666666666
AW,2016,7,bifarius,Taraxacum.officinale,2,60,0.03333333333333333
AW,2016,7,flavifrons,Delphinium.nuttallianum,3,60,0.05
AW,2016,7,flavifrons,Hydrophyllum.fendleri,1,60,0.016666666666666666
AW,2016,7,flavifrons,Taraxacum.officinale,1,60,0.016666666666666666
AW,2016,8,appositus,Delphinium.nuttallianum,1,60,0.016666666666666666
AW,2016,8,appositus,Lathyrus.leucanthus,4,60,0.06666666666666667
AW,2016,8,bifarius,Hydrophyllum.fendleri,5,60,0.08333333333333333
AW,2016,8,bifarius,Rubus.idaeus,1,60,0.016666666666666666
AW,2016,8,flavifrons,Delphinium.nuttallianum,2,60,0.03333333333333333
AW,2016,8,flavifrons,Distegia.involucrata,1,60,0.016666666666666666
AW,2016,8,flavifrons,Hydrophyllum.fendleri,4,60,0.06666666666666667
AW,2016,8,flavifrons,Mertensia.ciliata,1,60,0.016666666666666666
AW,2016,8,mixtus,Hydrophyllum.fendleri,1,60,0.016666666666666666
AW,2016,8,occidentalis,Hydrophyllum.fendleri,1,60,0.016666666666666666
AW,2016,9,appositus,Delphinium.nuttallianum,1,60,0.016666666666666666
AW,2016,9,appositus,Lathyrus.leucanthus,1,60,0.016666666666666666
AW,2016,9,appositus,Vicia.americana,1,60,0.016666666666666666
AW,2016,9,bifarius,Delphinium.nuttallianum,1,60,0.016666666666666666
AW,2016,9,bifarius,Hydrophyllum.fendleri,1,60,0.016666666666666666
AW,2016,9,flavifrons,Delphinium.nuttallianum,1,60,0.016666666666666666
AW,2016,9,flavifrons,Distegia.involucrata,1,60,0.016666666666666666
AW,2016,9,flavifrons,Hydrophyllum.fendleri,5,60,0.08333333333333333
AW,2016,9,flavifrons,Mertensia.ciliata,1,60,0.016666666666666666
AW,2016,9,flavifrons,Vicia.americana,1,60,0.016666666666666666
AW,2016,9,insularis,Hydrophyllum.fendleri,1,60,0.016666666666666666
AW,2016,9,mixtus,Hydrophyllum.fendleri,1,60,0.016666666666666666
AW,2016,10,appositus,Vicia.americana,3,60,0.05
AW,2016,10,bifarius,Dugaldia.hoopesii,2,60,0.03333333333333333
AW,2016,10,bifarius,Helianthella.quinquenervis,3,60,0.05
AW,2016,10,bifarius,Hydrophyllum.fendleri,2,60,0.03333333333333333
AW,2016,10,flavifrons,Hydrophyllum.fendleri,3,60,0.05
AW,2016,10,flavifrons,Mertensia.ciliata,5,60,0.08333333333333333
AW,2016,10,flavifrons,Vicia.americana,7,60,0.11666666666666667
AW,2016,11,appositus,Delphinium.barbeyi,1,60,0.016666666666666666
AW,2016,11,appositus,Ligularia.bigelovii,1,60,0.016666666666666666
AW,2016,11,bifarius,Agoseris.aurantiaca,1,60,0.016666666666666666
AW,2016,11,bifarius,Helianthella.quinquenervis,1,60,0.016666666666666666
AW,2016,11,flavifrons,Cirsium.parryi,1,60,0.016666666666666666
AW,2016,11,flavifrons,Delphinium.barbeyi,5,60,0.08333333333333333
AW,2016,11,flavifrons,Helianthella.quinquenervis,4,60,0.06666666666666667
AW,2016,11,flavifrons,Hydrophyllum.fendleri,4,60,0.06666666666666667
AW,2016,11,flavifrons,Ligularia.bigelovii,4,60,0.06666666666666667
AW,2016,11,flavifrons,Mertensia.ciliata,5,60,0.08333333333333333
AW,2016,11,flavifrons,Vicia.americana,2,60,0.03333333333333333
AW,2016,11,rufocinctus,Erigeron.elatior,1,60,0.016666666666666666
AW,2016,12,appositus,Delphinium.barbeyi,5,60,0.08333333333333333
AW,2016,12,appositus,Ligularia.bigelovii,1,60,0.016666666666666666
AW,2016,12,bifarius,Agoseris.aurantiaca,1,60,0.016666666666666666
AW,2016,12,bifarius,Cirsium.parryi,1,60,0.016666666666666666
AW,2016,12,bifarius,Dugaldia.hoopesii,1,60,0.016666666666666666
AW,2016,12,bifarius,Erigeron.elatior,2,60,0.03333333333333333
AW,2016,12,bifarius,Helianthella.quinquenervis,4,60,0.06666666666666667
AW,2016,12,bifarius,Heterotheca.villosa,1,60,0.016666666666666666
AW,2016,12,bifarius,Ligularia.bigelovii,8,60,0.13333333333333333
AW,2016,12,flavifrons,Aconitum.columbianum,6,60,0.1
AW,2016,12,flavifrons,Cirsium.parryi,2,60,0.03333333333333333
AW,2016,12,flavifrons,Delphinium.barbeyi,10,60,0.16666666666666666
AW,2016,12,flavifrons,Helianthella.quinquenervis,2,60,0.03333333333333333
AW,2016,12,flavifrons,Hydrophyllum.fendleri,2,60,0.03333333333333333
AW,2016,12,flavifrons,Ligularia.bigelovii,4,60,0.06666666666666667
AW,2016,12,flavifrons,Mertensia.ciliata,3,60,0.05
AW,2016,12,flavifrons,Solidago.multiradiata,1,60,0.016666666666666666
AW,2016,12,mixtus,Erigeron.elatior,1,60,0.016666666666666666
AW,2016,12,mixtus,Ligularia.bigelovii,2,60,0.03333333333333333
AW,2016,12,rufocinctus,Ligularia.bigelovii,1,60,0.016666666666666666
AW,2016,13,appositus,Delphinium.barbeyi,12,60,0.2
AW,2016,13,bifarius,Dugaldia.hoopesii,3,60,0.05
AW,2016,13,bifarius,Erigeron.elatior,3,60,0.05
AW,2016,13,bifarius,Heliomeris.multiflora,4,60,0.06666666666666667
AW,2016,13,bifarius,Ligularia.bigelovii,20,60,0.3333333333333333
AW,2016,13,bifarius,Trifolium.repens,1,60,0.016666666666666666
AW,2016,13,flavifrons,Cirsium.parryi,16,60,0.26666666666666666
AW,2016,13,flavifrons,Delphinium.barbeyi,12,60,0.2
AW,2016,13,flavifrons,Erigeron.elatior,1,60,0.016666666666666666
AW,2016,13,flavifrons,Ligularia.bigelovii,16,60,0.26666666666666666
AW,2016,13,occidentalis,Ligularia.bigelovii,2,60,0.03333333333333333
AW,2016,14,appositus,Delphinium.barbeyi,12,60,0.2
AW,2016,14,bifarius,Dugaldia.hoopesii,3,60,0.05
AW,2016,14,bifarius,Erigeron.elatior,3,60,0.05
AW,2016,14,bifarius,Heliomeris.multiflora,4,60,0.06666666666666667
AW,2016,14,bifarius,Ligularia.bigelovii,20,60,0.3333333333333333
AW,2016,14,bifarius,Trifolium.repens,1,60,0.016666666666666666
AW,2016,14,flavifrons,Cirsium.parryi,16,60,0.26666666666666666
AW,2016,14,flavifrons,Delphinium.barbeyi,12,60,0.2
AW,2016,14,flavifrons,Erigeron.elatior,1,60,0.016666666666666666
AW,2016,14,flavifrons,Ligularia.bigelovii,16,60,0.26666666666666666
AW,2016,14,occidentalis,Ligularia.bigelovii,2,60,0.03333333333333333
AW,2016,15,bifarius,Erigeron.elatior,1,60,0.016666666666666666
AW,2016,15,bifarius,Heliomeris.multiflora,41,60,0.6833333333333333
AW,2016,15,bifarius,Trifolium.repens,1,60,0.016666666666666666
AW,2016,15,flavifrons,Cirsium.parryi,14,60,0.23333333333333334
AW,2016,15,flavifrons,Delphinium.barbeyi,1,60,0.016666666666666666
AW,2016,15,flavifrons,Erigeron.elatior,1,60,0.016666666666666666
AW,2016,15,flavifrons,Heliomeris.multiflora,11,60,0.18333333333333332
AW,2016,15,flavifrons,Senecio.serra,11,60,0.18333333333333332
AW,2016,15,flavifrons,Trifolium.repens,1,60,0.016666666666666666
AW,2016,15,insularis,Cirsium.parryi,2,60,0.03333333333333333
AW,2016,15,insularis,Heliomeris.multiflora,31,60,0.5166666666666667
AW,2016,15,mixtus,Dugaldia.hoopesii,1,60,0.016666666666666666
AW,2016,15,mixtus,Heliomeris.multiflora,8,60,0.13333333333333333
AW,2016,16,appositus,Gentiana.parryi,1,60,0.016666666666666666
AW,2016,16,bifarius,Heliomeris.multiflora,11,60,0.18333333333333332
AW,2016,16,flavifrons,Cirsium.parryi,4,60,0.06666666666666667
AW,2016,16,flavifrons,Erigeron.elatior,1,60,0.016666666666666666
AW,2016,16,flavifrons,Heliomeris.multiflora,10,60,0.16666666666666666
AW,2016,16,insularis,Dugaldia.hoopesii,1,60,0.016666666666666666
AW,2016,16,insularis,Heliomeris.multiflora,22,60,0.36666666666666664
AW,2016,16,mixtus,Heliomeris.multiflora,1,60,0.016666666666666666
AW,2016,17,appositus,Gentiana.parryi,1,60,0.016666666666666666
AW,2016,17,bifarius,Heliomeris.multiflora,1,60,0.016666666666666666
AW,2017,4,californicus,Mertensia.fusiformis,1,60,0.016666666666666666
AW,2017,4,flavifrons,Mertensia.fusiformis,8,60,0.13333333333333333
AW,2017,5,bifarius,Mertensia.fusiformis,1,60,0.016666666666666666
AW,2017,5,flavifrons,Hydrophyllum.fendleri,3,60,0.05
AW,2017,5,rufocinctus,Mertensia.fusiformis,1,60,0.016666666666666666
AW,2017,6,appositus,Delphinium.nuttallianum,2,60,0.03333333333333333
AW,2017,6,flavifrons,Delphinium.nuttallianum,6,60,0.1
AW,2017,6,flavifrons,Hydrophyllum.fendleri,11,60,0.18333333333333332
AW,2017,6,flavifrons,Lathyrus.leucanthus,1,60,0.016666666666666666
AW,2017,6,mixtus,Hydrophyllum.fendleri,1,60,0.016666666666666666
AW,2017,7,appositus,Lathyrus.leucanthus,3,60,0.05
AW,2017,7,bifarius,Hydrophyllum.fendleri,1,60,0.016666666666666666
AW,2017,7,flavifrons,Delphinium.nuttallianum,3,60,0.05
AW,2017,7,flavifrons,Distegia.involucrata,1,60,0.016666666666666666
AW,2017,7,flavifrons,Hydrophyllum.fendleri,6,60,0.1
AW,2017,7,insularis,Hydrophyllum.fendleri,1,60,0.016666666666666666
AW,2017,7,insularis,Rubus.idaeus,1,60,0.016666666666666666
AW,2017,7,mixtus,Hydrophyllum.fendleri,3,60,0.05
AW,2017,7,mixtus,Mertensia.ciliata,3,60,0.05
AW,2017,7,nevadensis,Hydrophyllum.fendleri,1,60,0.016666666666666666
AW,2017,8,appositus,Delphinium.barbeyi,1,60,0.016666666666666666
AW,2017,8,appositus,Lathyrus.leucanthus,1,60,0.016666666666666666
AW,2017,8,appositus,Potentilla.pulcherrima,1,60,0.016666666666666666
AW,2017,8,appositus,Vicia.americana,1,60,0.016666666666666666
AW,2017,8,flavifrons,Distegia.involucrata,1,60,0.016666666666666666
AW,2017,8,flavifrons,Hydrophyllum.fendleri,18,60,0.3
AW,2017,8,flavifrons,Lathyrus.leucanthus,1,60,0.016666666666666666
AW,2017,8,flavifrons,Mertensia.ciliata,6,60,0.1
AW,2017,8,flavifrons,Vicia.americana,13,60,0.21666666666666667
AW,2017,8,insularis,Hydrophyllum.fendleri,1,60,0.016666666666666666
AW,2017,8,insularis,Vicia.americana,1,60,0.016666666666666666
AW,2017,8,mixtus,Hydrophyllum.fendleri,1,60,0.016666666666666666
AW,2017,8,mixtus,Mertensia.ciliata,1,60,0.016666666666666666
AW,2017,9,appositus,Delphinium.barbeyi,14,60,0.23333333333333334
AW,2017,9,bifarius,Dugaldia.hoopesii,3,60,0.05
AW,2017,9,bifarius,Potentilla.pulcherrima,1,60,0.016666666666666666
AW,2017,9,flavifrons,Delphinium.barbeyi,11,60,0.18333333333333332
AW,2017,9,flavifrons,Helianthella.quinquenervis,4,60,0.06666666666666667
AW,2017,9,flavifrons,Hydrophyllum.fendleri,3,60,0.05
AW,2017,9,flavifrons,Mertensia.ciliata,12,60,0.2
AW,2017,9,flavifrons,Rubus.idaeus,1,60,0.016666666666666666
AW,2017,9,flavifrons,Vicia.americana,1,60,0.016666666666666666
AW,2017,9,insularis,Dugaldia.hoopesii,1,60,0.016666666666666666
AW,2017,9,mixtus,Geranium.richardsonii,1,60,0.016666666666666666
AW,2017,9,mixtus,Mertensia.ciliata,2,60,0.03333333333333333
AW,2017,9,rufocinctus,Potentilla.pulcherrima,1,60,0.016666666666666666
AW,2017,10,appositus,Delphinium.barbeyi,5,60,0.08333333333333333
AW,2017,10,appositus,Mertensia.ciliata,1,60,0.016666666666666666
AW,2017,10,bifarius,Dugaldia.hoopesii,2,60,0.03333333333333333
AW,2017,10,bifarius,Erigeron.elatior,1,60,0.016666666666666666
AW,2017,10,bifarius,Helianthella.quinquenervis,2,60,0.03333333333333333
AW,2017,10,bifarius,Solidago.multiradiata,1,60,0.016666666666666666
AW,2017,10,flavifrons,Aconitum.columbianum,2,60,0.03333333333333333
AW,2017,10,flavifrons,Agoseris.aurantiaca,1,60,0.016666666666666666
AW,2017,10,flavifrons,Cirsium.parryi,1,60,0.016666666666666666
AW,2017,10,flavifrons,Delphinium.barbeyi,7,60,0.11666666666666667
AW,2017,10,flavifrons,Dugaldia.hoopesii,2,60,0.03333333333333333
AW,2017,10,flavifrons,Helianthella.quinquenervis,4,60,0.06666666666666667
AW,2017,10,flavifrons,Hydrophyllum.fendleri,2,60,0.03333333333333333
AW,2017,10,flavifrons,Mertensia.ciliata,8,60,0.13333333333333333
AW,2017,10,insularis,Dugaldia.hoopesii,1,60,0.016666666666666666
AW,2017,10,rufocinctus,Dugaldia.hoopesii,1,60,0.016666666666666666
AW,2017,10,rufocinctus,Helianthella.quinquenervis,1,60,0.016666666666666666
AW,2017,11,appositus,Delphinium.barbeyi,18,60,0.3
AW,2017,11,bifarius,Agoseris.glauca,1,60,0.016666666666666666
AW,2017,11,bifarius,Dugaldia.hoopesii,3,60,0.05
AW,2017,11,bifarius,Ligularia.bigelovii,4,60,0.06666666666666667
AW,2017,11,bifarius,Solidago.multiradiata,1,60,0.016666666666666666
AW,2017,11,bifarius,Trifolium.repens,1,60,0.016666666666666666
AW,2017,11,flavifrons,Aconitum.columbianum,4,60,0.06666666666666667
AW,2017,11,flavifrons,Cirsium.parryi,6,60,0.1
AW,2017,11,flavifrons,Delphinium.barbeyi,13,60,0.21666666666666667
AW,2017,11,flavifrons,Erigeron.elatior,1,60,0.016666666666666666
AW,2017,11,flavifrons,Helianthella.quinquenervis,3,60,0.05
AW,2017,11,flavifrons,Ligularia.bigelovii,2,60,0.03333333333333333
AW,2017,11,flavifrons,Mertensia.ciliata,1,60,0.016666666666666666
AW,2017,11,flavifrons,Rubus.idaeus,1,60,0.016666666666666666
AW,2017,11,mixtus,Heliomeris.multiflora,1,60,0.016666666666666666
AW,2017,11,mixtus,Ligularia.bigelovii,2,60,0.03333333333333333
AW,2017,12,appositus,Delphinium.barbeyi,14,60,0.23333333333333334
AW,2017,12,bifarius,Achillea.millefolium,1,60,0.016666666666666666
AW,2017,12,bifarius,Heliomeris.multiflora,8,60,0.13333333333333333
AW,2017,12,bifarius,Ligularia.bigelovii,2,60,0.03333333333333333
AW,2017,12,bifarius,Senecio.serra,1,60,0.016666666666666666
AW,2017,12,flavifrons,Aconitum.columbianum,2,60,0.03333333333333333
AW,2017,12,flavifrons,Cirsium.parryi,7,60,0.11666666666666667
AW,2017,12,flavifrons,Delphinium.barbeyi,12,60,0.2
AW,2017,12,flavifrons,Ligularia.bigelovii,6,60,0.1
AW,2017,12,insularis,Dugaldia.hoopesii,1,60,0.016666666666666666
AW,2017,12,mixtus,Cirsium.parryi,1,60,0.016666666666666666
AW,2017,12,mixtus,Heliomeris.multiflora,1,60,0.016666666666666666
AW,2017,12,mixtus,Ligularia.bigelovii,5,60,0.08333333333333333
AW,2017,12,rufocinctus,Heliomeris.multiflora,1,60,0.016666666666666666
AW,2017,13,bifarius,Heliomeris.multiflora,19,60,0.31666666666666665
AW,2017,13,flavifrons,Aconitum.columbianum,1,60,0.016666666666666666
AW,2017,13,flavifrons,Cirsium.parryi,7,60,0.11666666666666667
AW,2017,13,flavifrons,Delphinium.barbeyi,4,60,0.06666666666666667
AW,2017,13,flavifrons,Heliomeris.multiflora,12,60,0.2
AW,2017,13,flavifrons,Ligularia.bigelovii,4,60,0.06666666666666667
AW,2017,13,flavifrons,Senecio.serra,1,60,0.016666666666666666
AW,2017,13,insularis,Heliomeris.multiflora,2,60,0.03333333333333333
AW,2017,13,mixtus,Heliomeris.multiflora,1,60,0.016666666666666666
AW,2017,14,bifarius,Heliomeris.multiflora,12,60,0.2
AW,2017,14,flavifrons,Cirsium.parryi,2,60,0.03333333333333333
AW,2017,14,flavifrons,Heliomeris.multiflora,18,60,0.3
AW,2017,14,flavifrons,Senecio.serra,1,60,0.016666666666666666
AW,2017,14,insularis,Heliomeris.multiflora,5,60,0.08333333333333333
AW,2017,14,mixtus,Heliomeris.multiflora,2,60,0.03333333333333333
AW,2017,14,occidentalis,Heliomeris.multiflora,1,60,0.016666666666666666
AW,2017,15,appositus,Gentiana.parryi,1,60,0.016666666666666666
AW,2017,15,flavifrons,Cirsium.parryi,1,60,0.016666666666666666
AW,2017,15,flavifrons,Heliomeris.multiflora,1,60,0.016666666666666666
AW,2017,15,insularis,Heliomeris.multiflora,7,60,0.11666666666666667
AW,2017,15,mixtus,Heliomeris.multiflora,1,60,0.016666666666666666
AW,2018,2,bifarius,Salix.sp,2,60,0.03333333333333333
AW,2018,3,occidentalis,Salix.sp,1,60,0.016666666666666666
AW,2018,4,bifarius,Claytonia.lanceolata,1,60,0.016666666666666666
AW,2018,4,bifarius,Salix.sp,4,60,0.06666666666666667
AW,2018,4,flavifrons,Salix.sp,1,60,0.016666666666666666
AW,2018,5,bifarius,Mertensia.fusiformis,2,60,0.03333333333333333
AW,2018,5,flavifrons,Mertensia.fusiformis,4,60,0.06666666666666667
AW,2018,6,flavifrons,Mertensia.fusiformis,3,60,0.05
AW,2018,7,appositus,Delphinium.nuttallianum,1,60,0.016666666666666666
AW,2018,7,appositus,Distegia.involucrata,1,60,0.016666666666666666
AW,2018,7,bifarius,Taraxacum.officinale,1,60,0.016666666666666666
AW,2018,7,flavifrons,Delphinium.nuttallianum,1,60,0.016666666666666666
AW,2018,7,flavifrons,Hydrophyllum.fendleri,9,60,0.15
AW,2018,7,flavifrons,Taraxacum.officinale,1,60,0.016666666666666666
AW,2018,8,appositus,Distegia.involucrata,1,60,0.016666666666666666
AW,2018,8,flavifrons,Distegia.involucrata,1,60,0.016666666666666666
AW,2018,8,flavifrons,Hydrophyllum.fendleri,1,60,0.016666666666666666
AW,2018,8,flavifrons,Lathyrus.leucanthus,1,60,0.016666666666666666
